선수,연도,팀,연봉,WAR
최형우,2021,KIA,"150,000",0.243
브룩스,2021,KIA,"100,000",2.064
터커,2021,KIA,"70,000",0.425
나지완,2021,KIA,"60,000",-0.639
다카하시,2021,KIA,"60,000",0.365
김선빈,2021,KIA,"45,000",2.965
멩덴,2021,KIA,"42,500",3.089
최원준,2021,KIA,"13,000",2.671
박준표,2021,KIA,"11,000",-0.227
장현식,2021,KIA,"11,000",2.926
유민상,2021,KIA,"10,500",0.090
박찬호,2021,KIA,"10,500",0.663
류지혁,2021,KIA,"10,500",1.144
김윤동,2021,KIA,"10,000",
나주환,2021,KIA,"10,000",-0.299
김태진,2021,KIA,"9,000",0.601
김민식,2021,KIA,"8,800",0.618
이창진,2021,KIA,"8,500",-0.070
김호령,2021,KIA,"8,500",0.646
심동섭,2021,KIA,"8,000",
한승택,2021,KIA,"8,000",0.754
전상현,2021,KIA,"7,600",0.295
임기영,2021,KIA,"7,000",1.982
하준영,2021,KIA,"6,500",
장영석,2021,KIA,"6,000",
박진태,2021,KIA,"6,000",0.019
고영창,2021,KIA,"5,800",-0.285
이준형,2021,KIA,"5,000",
황윤호,2021,KIA,"4,500",-0.188
이민우,2021,KIA,"4,300",-1.130
변시원,2021,KIA,"4,000",-0.089
홍상삼,2021,KIA,"4,000",0.511
이준영,2021,KIA,"4,000",-0.057
백용환,2021,KIA,"4,000",
이우성,2021,KIA,"4,000",-0.299
문선재,2021,KIA,"4,000",
최정용,2021,KIA,"3,600",-0.185
김명찬,2021,KIA,"3,500",
최정민,2021,KIA,"3,500",0.249
황인준,2021,KIA,"3,400",
이진영,2021,KIA,"3,400",0.312
김영환,2021,KIA,"3,300",
차명진,2021,KIA,"3,300",-0.157
양승철,2021,KIA,"3,200",
한준수,2021,KIA,"3,100",
이동건,2021,KIA,"3,100",
남재현,2021,KIA,"3,100",-0.343
윤중현,2021,KIA,"3,000",1.250
박대명,2021,KIA,"3,000",
박건우,2021,KIA,"3,000",0.126
최승주,2021,KIA,"3,000",
김원경,2021,KIA,"3,000",
오규석,2021,KIA,"3,000",
김현수,2021,KIA,"3,000",-0.866
김유신,2021,KIA,"3,000",-0.760
김연준,2021,KIA,"3,000",
김선우,2021,KIA,"3,000",
홍원빈,2021,KIA,"3,000",
황대인,2021,KIA,"3,000",-0.032
장시현,2021,KIA,"3,000",
장민기,2021,KIA,"3,000",0.428
이승재,2021,KIA,"3,000",-0.411
이영재,2021,KIA,"3,000",
오선우,2021,KIA,"3,000",-0.282
이의리,2021,KIA,"3,000",2.351
이정훈,2021,KIA,"3,000",0.082
이준범,2021,KIA,"3,000",
송후섭,2021,KIA,"3,000",
권혁경,2021,KIA,"3,000",-0.138
백미카엘,2021,KIA,"3,000",
백현종,2021,KIA,"3,000",
김현준,2021,KIA,"2,900",0.047
김규성,2021,KIA,"2,900",-0.397
박정우,2021,KIA,"2,800",-0.061
서덕원,2021,KIA,"2,800",-0.295
장재혁,2021,KIA,"2,700",
박민,2021,KIA,"2,700",-0.127
김양수,2021,KIA,"2,700",
이인한,2021,KIA,"2,700",
김재열,2021,KIA,"2,700",0.385
정해영,2021,KIA,"2,700",3.785
최용준,2021,KIA,"2,700",-0.401
강민호,2021,삼성,"125,000",3.878
오승환,2021,삼성,"120,000",3.032
우규민,2021,삼성,"70,000",1.021
뷰캐넌,2021,삼성,"60,000",4.551
피렐라,2021,삼성,"50,000",2.961
라이블리,2021,삼성,"50,000",0.661
오재일,2021,삼성,"47,000",3.028
몽고메리,2021,삼성,"45,000",0.215
박해민,2021,삼성,"30,000",3.942
이원석,2021,삼성,"30,000",0.949
백정현,2021,삼성,"28,000",5.275
구자욱,2021,삼성,"28,000",5.903
심창민,2021,삼성,"28,000",0.157
김상수,2021,삼성,"25,000",0.572
장필준,2021,삼성,"21,500",-0.432
김헌곤,2021,삼성,"19,000",1.323
최채흥,2021,삼성,"16,000",1.547
김동엽,2021,삼성,"13,500",-0.282
최지광,2021,삼성,"12,000",0.347
강한울,2021,삼성,"12,000",-0.240
김대우,2021,삼성,"11,500",-0.391
임현준,2021,삼성,"10,000",-0.063
이승현,2021,삼성,"10,000",-0.448
최충연,2021,삼성,"9,000",
이학주,2021,삼성,"9,000",-0.410
원태인,2021,삼성,"8,000",4.765
최영진,2021,삼성,"8,000",0.234
김재현,2021,삼성,"5,500",
김도환,2021,삼성,"5,200",-0.308
양창섭,2021,삼성,"5,000",-0.162
백승민,2021,삼성,"4,700",-0.075
이성규,2021,삼성,"4,300",
김민수,2021,삼성,"4,300",0.400
장지훈,2021,삼성,"4,200",
임대한,2021,삼성,"4,000",
김호재,2021,삼성,"4,000",-0.306
