선수,연도,팀,연봉,WAR
손승락,2019,KIA,"70,000",
윌랜드,2019,KIA,"70,000",1.608
터너,2019,KIA,"70,000",-0.531
이범호,2019,KIA,"65,000",0.030
윤석민,2019,KIA,"20,000",
서동욱,2019,KIA,"11,100",
한승혁,2019,KIA,"8,500",
유승철,2019,KIA,"6,000",-0.189
김주형,2019,KIA,"4,500",
홍재호,2019,KIA,"4,000",-0.062
윤해진,2019,KIA,"3,900",-0.071
류승현,2019,KIA,"3,600",-0.174
박지훈,2019,KIA,"3,500",
박경태,2019,KIA,"3,500",
이인행,2019,KIA,"3,300",-0.080
신범수,2019,KIA,"3,200",0.379
김석환,2019,KIA,"2,900",
유근상,2019,KIA,"2,800",
장지수,2019,KIA,"2,700",-0.233
이태규,2019,KIA,"2,700",
이호현,2019,KIA,"2,700",
오정환,2019,KIA,"2,700",-0.534
신제왕,2019,KIA,"2,700",
박수용,2019,KIA,"2,700",
나용기,2019,KIA,"2,700",
김창용,2019,KIA,"2,700",
김민수,2019,KIA,"2,700",
러프,2019,삼성,"170,000",4.351
맥과이어,2019,삼성,"95,000",0.760
헤일리,2019,삼성,"90,000",0.004
박한이,2019,삼성,"25,000",0.091
윌리엄슨,2019,삼성,"22,500",-0.150
손주인,2019,삼성,"15,000",-0.558
배영섭,2019,삼성,"12,000",
한기주,2019,삼성,"7,500",
김승현,2019,삼성,"5,500",-0.287
정병곤,2019,삼성,"4,000",
이상민,2019,삼성,"3,700",
정광운,2019,삼성,"2,800",
문용익,2019,삼성,"2,800",
이해승,2019,삼성,"2,700",
이태훈,2019,삼성,"2,700",
채상준,2019,삼성,"2,700",
이병헌,2019,삼성,"2,700",
오상민,2019,삼성,"2,700",
김기환,2019,삼성,"2,700",
서주원,2019,삼성,"2,700",
서장민,2019,삼성,"2,700",
김태우,2019,삼성,"2,700",
김준우,2019,삼성,"2,700",
김연준,2019,삼성,"2,700",
황선도,2019,삼성,"2,700",
린드블럼,2019,두산,"170,000",6.858
후랭코프,2019,두산,"110,000",2.594
박정배,2019,두산,"14,000",
허준혁,2019,두산,"8,500",
윤수호,2019,두산,"5,000",
최대성,2019,두산,"3,500",0.000
김민혁,2019,두산,"3,400",
유재유,2019,두산,"3,200",
황경태,2019,두산,"3,100",
김도현,2019,두산,"3,000",
전민재,2019,두산,"2,800",0.021
박유연,2019,두산,"2,800",-0.007
이민혁,2019,두산,"2,700",
최지원,2019,두산,"2,700",
윤산흠,2019,두산,"2,700",
이교훈,2019,두산,"2,700",
박정권,2019,SK,"40,000",-0.162
강승호,2019,SK,"9,600",-0.099
허민혁,2019,SK,"2,700",
최경모,2019,SK,"2,700",-0.201
조성훈,2019,SK,"2,700",
전진우,2019,SK,"2,700",
임석진,2019,SK,"2,700",
서상준,2019,SK,"2,700",
박준영,2019,SK,"2,700",
이동근,2019,SK,0,
정혁진,2019,SK,0,
강동권,2019,SK,0,
조셉,2019,LG,"70,000",1.094
페게로,2019,LG,"15,000",1.086
