선수,연도,팀,연봉,WAR
나성범,2023,KIA,"200,000",3.541
양현종,2023,KIA,"100,000",2.808
최형우,2023,KIA,"90,000",3.276
소크라테스,2023,KIA,"50,000",4.587
김선빈,2023,KIA,"45,000",2.684
장현식,2023,KIA,"20,000",0.524
정해영,2023,KIA,"17,000",1.759
임기영,2023,KIA,"14,000",2.198
박준표,2023,KIA,"12,500",0.178
김대유,2023,KIA,"12,500",0.098
박찬호,2023,KIA,"12,000",4.139
전상현,2023,KIA,"11,000",1.977
류지혁,2023,KIA,"10,500",
이의리,2023,KIA,"9,000",1.754
한승택,2023,KIA,"8,500",-0.513
고종욱,2023,KIA,"7,000",0.750
이창진,2023,KIA,"7,000",1.584
이준영,2023,KIA,"6,700",0.971
황대인,2023,KIA,"6,500",-0.087
윤중현,2023,KIA,"6,500",0.424
김호령,2023,KIA,"6,000",0.128
김건국,2023,KIA,"6,000",-0.069
김승현,2023,KIA,"5,500",0.157
고영창,2023,KIA,"4,200",
이우성,2023,KIA,"4,100",2.241
김기훈,2023,KIA,"4,000",-0.180
이정훈,2023,KIA,"4,000",
유승철,2023,KIA,"4,000",0.034
김재열,2023,KIA,"3,900",-0.710
최정용,2023,KIA,"3,800",-0.023
김유신,2023,KIA,"3,700",0.100
신범수,2023,KIA,"3,600",-0.279
박정우,2023,KIA,"3,500",0.029
오선우,2023,KIA,"3,500",-0.083
남하준,2023,KIA,"3,300",
홍종표,2023,KIA,"3,300",0.087
김사윤,2023,KIA,"3,200",
장지수,2023,KIA,"3,200",
오정환,2023,KIA,"3,100",
한준수,2023,KIA,"3,100",0.581
홍원빈,2023,KIA,"3,000",
최지민,2023,KIA,"3,000",2.183
황동하,2023,KIA,"3,000",-0.416
임석진,2023,KIA,"3,000",
이송찬,2023,KIA,"3,000",
정해원,2023,KIA,"3,000",
이성주,2023,KIA,"3,000",
이도현,2023,KIA,"3,000",
김용완,2023,KIA,"3,000",
김양수,2023,KIA,"3,000",
김세일,2023,KIA,"3,000",
김선우,2023,KIA,"3,000",-0.057
김민수,2023,KIA,"3,000",
김도월,2023,KIA,"3,000",
김도영,2023,KIA,"3,000",4.128
곽도규,2023,KIA,"3,000",-0.188
강이준,2023,KIA,"3,000",
강병우,2023,KIA,"3,000",
김재현,2023,KIA,"3,000",
김주섭,2023,KIA,"3,000",
윤영철,2023,KIA,"3,000",1.493
윤도현,2023,KIA,"3,000",-0.014
앤더슨,2023,KIA,"3,000",0.638
송후섭,2023,KIA,"3,000",
변우혁,2023,KIA,"3,000",0.614
박일훈,2023,KIA,"3,000",
메디나,2023,KIA,"3,000",-0.620
나용기,2023,KIA,"3,000",
김찬민,2023,KIA,"3,000",
이태규,2023,KIA,"2,700",
유지성,2023,KIA,0,
구자욱,2023,삼성,"250,000",5.013
오승환,2023,삼성,"160,000",1.815
뷰캐넌,2023,삼성,"110,000",5.114
백정현,2023,삼성,"80,000",2.225
수아레즈,2023,삼성,"70,000",1.471
오재일,2023,삼성,"60,000",0.094
강민호,2023,삼성,"60,000",3.744
피렐라,2023,삼성,"60,000",1.469
원태인,2023,삼성,"30,000",3.484
이원석,2023,삼성,"30,000",
김상수,2023,삼성,"25,000",
우규민,2023,삼성,"20,000",0.342
김태군,2023,삼성,"20,000",
김헌곤,2023,삼성,"18,000",-0.120
김동엽,2023,삼성,"15,000",-0.060
김대우,2023,삼성,"12,000",0.501
장필준,2023,삼성,"12,000",-0.299
김지찬,2023,삼성,"11,000",1.949
강한울,2023,삼성,"10,000",-0.543
이승현,2023,삼성,"10,000",1.033
김호재,2023,삼성,"7,000",-0.185
김민수,2023,삼성,"6,200",-0.003
노건우,2023,삼성,"5,800",-0.197
이승현,2023,삼성,"5,500",1.033
이상민,2023,삼성,"5,500",-0.562
홍정우,2023,삼성,"5,300",-0.806
이성규,2023,삼성,"5,000",-0.082
허윤동,2023,삼성,"4,700",-0.254
송준석,2023,삼성,"4,700",-0.040
양창섭,2023,삼성,"4,700",-0.765
최충연,2023,삼성,"4,500",-0.084
김재성,2023,삼성,"4,500",0.405
문용익,2023,삼성,"4,500",0.228
김태훈,2023,삼성,"4,100",-0.377
공민규,2023,삼성,"4,000",-0.225
권정웅,2023,삼성,"4,000",
이재희,2023,삼성,"4,000",0.138
김성윤,2023,삼성,"3,800",2.096
이재익,2023,삼성,"3,700",0.769
이태훈,2023,삼성,"3,500",-0.087
박세웅,2023,삼성,"3,300",-0.116
양우현,2023,삼성,"3,300",
안주형,2023,삼성,"3,300",-0.121
김현준,2023,삼성,"3,300",0.963
한연욱,2023,삼성,"3,200",
황동재,2023,삼성,"3,100",-0.581
김준우,2023,삼성,"3,100",
신윤호,2023,삼성,"3,000",
류승민,2023,삼성,"3,000",-0.458
다치바나,2023,삼성,"3,000",
김상민,2023,삼성,"3,000",-0.247
이재현,2023,삼성,"3,000",2.226
김민호,2023,삼성,"3,000",
김재상,2023,삼성,"3,000",-0.085
김서준,2023,삼성,"3,000",-0.093
이호성,2023,삼성,"3,000",0.532
장재혁,2023,삼성,"3,000",
김영웅,2023,삼성,"3,000",-0.140
조민성,2023,삼성,"3,000",-0.389
김시온,2023,삼성,"3,000",
박권후,2023,삼성,"3,000",-0.012
박시원,2023,삼성,"3,000",
신정환,2023,삼성,"3,000",
서현원,2023,삼성,"3,000",
강준서,2023,삼성,"3,000",-0.086
박진우,2023,삼성,"3,000",
오현석,2023,삼성,"3,000",
홍무원,2023,삼성,"3,000",
박장민,2023,삼성,"3,000",
윤정빈,2023,삼성,"3,000",-0.082
윤정훈,2023,삼성,"3,000",
이병헌,2023,삼성,"3,000",-0.207
최하늘,2023,삼성,"3,000",-0.705
김용하,2023,삼성,"2,800",
홍승원,2023,삼성,0,
김동진,2023,삼성,0,0.203
이해승,2023,삼성,0,0.050
김태우,2023,삼성,0,
박용민,2023,삼성,0,
박주혁,2023,삼성,0,
맹성주,2023,삼성,0,
서주원,2023,삼성,0,
정진수,2023,삼성,0,
