선수,연도,팀,연봉,WAR
양현종,2020,KIA,"230,000",2.522
최형우,2020,KIA,"150,000",5.710
가뇽,2020,KIA,"65,000",2.840
나지완,2020,KIA,"60,000",2.265
터커,2020,KIA,"55,000",4.310
브룩스,2020,KIA,"47,900",7.158
김선빈,2020,KIA,"45,000",2.640
김윤동,2020,KIA,"13,000",
나주환,2020,KIA,"12,000",0.334
문경찬,2020,KIA,"11,500",
박준표,2020,KIA,"11,000",2.657
박찬호,2020,KIA,"10,500",-0.694
임기준,2020,KIA,"10,000",
김민식,2020,KIA,"8,800",0.312
김호령,2020,KIA,"8,500",0.029
이창진,2020,KIA,"8,500",0.427
한승택,2020,KIA,"8,000",0.430
전상현,2020,KIA,"7,600",1.615
장영석,2020,KIA,"7,500",-0.551
최원준,2020,KIA,"7,000",1.459
임기영,2020,KIA,"7,000",1.341
하준영,2020,KIA,"6,500",
유민상,2020,KIA,"6,000",0.143
박진태,2020,KIA,"6,000",-0.504
고영창,2020,KIA,"5,800",0.119
홍건희,2020,KIA,"5,300",
변시원,2020,KIA,"5,000",0.005
황윤호,2020,KIA,"5,000",0.035
문선재,2020,KIA,"4,500",-0.182
이민우,2020,KIA,"4,300",-0.755
홍상삼,2020,KIA,"4,000",0.947
이우성,2020,KIA,"4,000",-0.384
이준영,2020,KIA,"4,000",0.395
백용환,2020,KIA,"4,000",0.506
황인준,2020,KIA,"3,700",0.078
최정용,2020,KIA,"3,600",-0.433
차명진,2020,KIA,"3,600",-0.173
김기훈,2020,KIA,"3,500",0.231
최정민,2020,KIA,"3,500",-0.130
김명찬,2020,KIA,"3,500",-0.075
이진영,2020,KIA,"3,400",0.040
남재현,2020,KIA,"3,100",0.039
이은총,2020,KIA,"3,000",
박정수,2020,KIA,"3,000",
이정훈,2020,KIA,"3,000",-0.094
황대인,2020,KIA,"3,000",0.573
양승철,2020,KIA,"3,000",-0.169
김현수,2020,KIA,"3,000",0.100
오선우,2020,KIA,"3,000",0.023
김현준,2020,KIA,"2,900",-0.499
한준수,2020,KIA,"2,900",
김규성,2020,KIA,"2,900",-0.718
오규석,2020,KIA,"2,700",
홍종표,2020,KIA,"2,700",-0.224
최용준,2020,KIA,"2,700",
정해영,2020,KIA,"2,700",1.468
홍원빈,2020,KIA,"2,700",
박민,2020,KIA,"2,700",-0.006
장재혁,2020,KIA,"2,700",
백현종,2020,KIA,"2,700",
이인한,2020,KIA,"2,700",
김양수,2020,KIA,"2,700",
이태규,2020,KIA,"2,700",
김승범,2020,KIA,"2,700",-0.005
김민수,2020,KIA,"2,700",
박동민,2020,KIA,0,
가뇽,2020,KIA,0,2.840
유지성,2020,KIA,0,
이원빈,2020,KIA,0,
민경남,2020,KIA,0,
강민수,2020,KIA,0,
박진두,2020,KIA,0,
이종석,2020,KIA,0,
고장혁,2020,KIA,0,-0.107
박정우,2020,KIA,0,
이진경,2020,KIA,0,
박서준,2020,KIA,0,
강민호,2020,삼성,"125,000",3.174
오승환,2020,삼성,"120,000",2.624
우규민,2020,삼성,"70,000",-0.032
뷰캐넌,2020,삼성,"60,000",4.682
라이블리,2020,삼성,"50,000",2.656
