순,이름,팀,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR(need to drop),WPA
542,엄상백,21K,0.94,10,0,0,9,4,1,0,0,52.2,24,24,228,41,10,0,7,28,0,3,45,0,0,4.10,5.12,1.31,109.5,86.7,0.94,0.03
543,홍건희,20K두,0.93,60,0,0,0,3,4,1,8,68.2,39,38,299,74,14,3,8,22,0,5,60,0,3,4.98,4.50,1.40,93.6,102.8,0.93,-1.10
544,봉중근,15L,0.92,47,0,0,2,5,2,15,0,49.1,28,27,223,60,6,0,10,23,4,6,39,0,3,4.93,6.19,1.68,95.3,73.8,0.92,-0.83
545,안영명,15한,0.92,35,0,0,27,10,6,0,1,125.1,77,71,568,137,23,1,15,60,1,11,82,0,4,5.10,5.54,1.57,97.7,89.1,0.92,-1.13
546,손승락,15넥,0.92,58,0,0,0,4,6,23,0,61.1,35,26,272,73,7,1,6,13,2,3,63,0,1,3.82,3.52,1.40,130.4,141.6,0.92,-1.20
547,최성훈,21L,0.92,46,0,0,0,1,1,0,3,40.2,14,11,179,40,7,1,2,19,1,1,33,0,0,2.43,3.75,1.45,177.2,116.2,0.92,-0.22
548,김태훈,20키,0.91,53,0,0,2,7,0,0,10,64.0,34,30,281,70,14,1,1,22,1,5,40,0,3,4.22,3.73,1.44,111.8,127.0,0.91,-0.30
549,박희수,19S,0.91,34,0,0,0,0,1,1,2,28.2,8,4,124,29,2,0,1,13,0,3,14,0,0,1.26,4.55,1.47,338.9,92.7,0.91,0.28
550,원종현,21N,0.91,61,0,0,0,2,2,14,6,53.0,27,25,245,67,9,0,5,23,2,3,45,0,4,4.25,4.22,1.70,107.0,107.0,0.91,-1.58
551,이보근,18넥,0.90,64,0,0,0,7,6,0,24,61.0,36,29,263,66,10,2,6,14,1,4,54,0,2,4.28,4.18,1.31,120.4,122.3,0.90,-0.73
552,김건국,19롯,0.90,37,0,0,5,3,3,0,3,66.2,34,33,293,73,8,1,5,27,0,6,43,0,3,4.46,4.57,1.50,94.1,91.6,0.90,-0.27
553,권오준,17삼,0.90,45,0,0,0,1,2,0,1,56.0,32,32,233,57,12,0,11,14,0,4,55,0,2,5.14,5.29,1.27,98.6,95.8,0.90,-0.06
554,김성민,17S넥,0.89,33,1,0,15,4,3,0,1,87.2,54,48,411,104,20,1,12,40,0,9,75,0,2,4.93,5.48,1.64,101.1,89.8,0.89,-1.11
555,김승회,17두,0.89,69,0,0,0,7,4,0,11,69.0,38,38,304,86,17,3,6,17,2,6,41,0,3,4.96,4.59,1.49,97.1,105.3,0.89,-1.19
556,진해수,21L,0.89,50,0,0,0,1,0,0,5,44.1,17,12,188,41,4,0,2,18,1,3,39,0,1,2.44,3.51,1.33,177.1,124.1,0.89,-0.19
557,최성훈,22L,0.89,45,0,0,0,0,0,0,6,33.1,10,8,139,23,4,2,1,13,2,3,22,0,2,2.16,3.67,1.08,184.0,110.4,0.89,0.42
558,조현우,21K,0.88,49,0,0,0,0,0,0,6,31.0,10,9,126,26,5,1,0,7,1,1,13,0,2,2.61,3.17,1.07,171.9,140.3,0.88,0.73
559,전유수,19K,0.88,62,0,0,1,3,1,1,7,66.1,31,25,280,66,16,1,2,18,4,4,46,0,6,3.39,3.22,1.27,122.0,128.9,0.88,-1.21
560,윤석민,16K,0.88,16,1,0,3,2,2,1,6,31.0,14,11,139,36,2,1,1,8,0,5,26,0,1,3.19,3.79,1.42,162.2,138.3,0.88,0.39
561,원종현,18N,0.88,59,0,0,0,3,6,2,17,64.1,38,37,275,78,5,1,7,22,1,2,36,0,5,5.18,5.20,1.55,100.3,101.0,0.88,-1.21
562,권혁,15한,0.87,78,0,0,0,9,13,17,6,112.0,68,62,506,124,21,1,15,53,7,5,88,1,5,4.98,5.15,1.58,100.0,95.7,0.87,-1.76
563,스와잭,15두,0.87,20,0,0,17,5,7,0,1,92.1,57,54,414,110,19,1,9,30,1,4,72,1,4,5.26,4.40,1.52,89.1,106.3,0.87,-1.59
564,백인식,17S,0.87,11,0,0,2,0,0,2,2,18.2,5,5,74,15,2,0,0,5,0,4,10,1,0,2.41,4.11,1.07,208.8,121.1,0.87,0.69
565,배재환,20N,0.87,53,0,0,0,1,3,0,12,43.0,22,19,209,38,7,2,4,35,3,9,33,2,5,3.98,6.09,1.70,122.9,79.3,0.87,-1.88
566,김진성,15N,0.87,59,0,0,0,3,4,5,12,66.0,35,33,271,59,9,1,14,18,0,1,70,0,2,4.50,5.12,1.17,106.5,95.2,0.87,0.16
567,장지훈,22S,0.86,40,0,0,0,2,0,0,6,55.0,26,26,231,56,8,2,6,11,2,3,33,0,4,4.25,4.21,1.22,97.8,99.4,0.86,-0.30
568,김도규,22롯,0.86,55,0,0,0,4,4,3,8,51.0,26,21,218,48,8,1,2,19,2,4,45,0,3,3.71,3.32,1.31,112.3,123.2,0.86,0.45
569,니퍼트,15두,0.86,20,0,0,16,6,5,0,0,90.0,54,51,404,104,21,0,4,33,0,4,76,0,4,5.10,3.74,1.52,91.9,128.0,0.86,-0.36
