이름,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WPA,소속팀,연도,포지션,연봉
나성범,5.14,144,622,564,112,184,34,5,28,312,135,23,4,32,15,1,127,9,3,8,0.326,0.373,0.553,0.926,0.4,136.1,2.61,NC,2015,RF,30000.0
황재균,5.13,134,600,541,108,169,35,5,21,277,97,11,6,47,5,0,98,12,3,4,0.312,0.37,0.512,0.882,0.391,129.6,3.52,kt,2020,3B,120000.0
버나디나,5.12,139,621,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,0.32,0.372,0.54,0.913,0.39,128.4,3.83,KIA,2017,CF,0.0
페르난데스,5.1,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,0.344,0.409,0.483,0.892,0.408,154.7,3.32,두산,2019,DH,40000.0
구자욱,5.01,139,610,543,107,166,30,10,22,282,88,27,4,48,6,3,98,9,1,12,0.306,0.361,0.519,0.881,0.394,134.0,3.48,삼성,2021,RF,250000.0
강민호,5.0,116,460,381,65,123,26,0,20,209,72,4,0,66,10,4,91,7,0,3,0.323,0.433,0.549,0.981,0.434,147.7,5.06,롯데,2016,C,100000.0
구자욱,4.99,116,465,410,97,143,33,5,11,219,57,17,7,45,6,0,79,3,0,4,0.349,0.417,0.534,0.951,0.422,148.4,1.81,삼성,2015,1B,8000.0
안치홍,4.98,130,549,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,0.342,0.392,0.563,0.954,0.407,140.3,4.06,,2018,2B,
터크먼,4.98,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,0.289,0.366,0.43,0.795,0.365,126.8,0.8,한화,2022,CF,
소크라테스,4.97,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,0.311,0.354,0.494,0.848,0.38,137.0,0.61,KIA,2022,CF,50000.0
김선빈,4.96,137,529,476,84,176,34,1,5,227,64,4,4,39,5,4,40,10,5,4,0.37,0.42,0.477,0.897,0.399,134.0,1.92,KIA,2017,SS,28000.0
구자욱,4.96,144,647,564,108,175,39,10,21,297,107,10,4,63,10,1,138,1,0,10,0.31,0.383,0.527,0.91,0.394,130.6,3.11,삼성,2017,RF,25000.0
이용규,4.96,124,585,493,94,168,15,7,4,209,42,28,10,68,9,5,45,4,11,4,0.341,0.427,0.424,0.851,0.386,119.6,2.61,한화,2015,CF,70000.0
김하성,4.94,140,582,511,89,148,35,5,19,250,73,22,4,56,5,2,115,10,4,6,0.29,0.362,0.489,0.851,0.372,112.9,0.99,키움,2015,SS,16000.0
최형우,4.94,143,609,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,0.339,0.414,0.549,0.963,0.411,143.4,5.7,,2018,LF,
전준우,4.93,144,619,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8,0.348,0.405,0.469,0.874,0.406,140.4,4.09,롯데,2021,LF,50000.0
손아섭,4.93,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,0.352,0.415,0.493,0.907,0.409,140.2,4.57,롯데,2020,RF,200000.0
최정,4.92,133,553,452,90,122,22,0,33,243,96,8,3,75,20,1,98,7,0,6,0.27,0.392,0.538,0.93,0.409,138.8,4.52,SSG,2020,3B,
정근우,4.91,126,552,468,99,148,30,2,12,218,66,21,6,61,8,1,66,14,13,2,0.316,0.403,0.466,0.868,0.384,119.2,4.05,한화,2015,2B,70000.0
알테어,4.91,143,565,492,83,134,19,2,32,253,84,20,5,57,11,2,156,6,0,5,0.272,0.358,0.514,0.872,0.393,132.0,2.11,NC,2021,CF,
김하성,4.91,141,601,526,90,159,36,3,23,270,114,16,8,58,8,2,65,8,2,7,0.302,0.376,0.513,0.889,0.385,125.4,3.21,키움,2017,SS,32000.0
이정후,4.88,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,0.336,0.386,0.456,0.842,0.386,135.1,1.39,키움,2019,LF,39000.0
김현수,4.88,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,0.286,0.375,0.473,0.848,0.382,145.1,2.7,LG,2022,LF,150000.0
히메네스,4.85,135,579,523,101,161,36,0,26,275,102,18,9,39,10,2,67,8,1,6,0.308,0.363,0.526,0.889,0.388,126.8,2.54,LG,2016,3B,0.0
마르테,4.83,115,487,425,85,148,32,1,20,242,89,0,0,51,2,7,60,19,0,8,0.348,0.414,0.569,0.983,0.424,149.0,3.2,kt,2015,3B,0.0
양의지,4.81,108,392,332,66,106,17,0,22,189,66,2,0,40,12,1,29,20,1,7,0.319,0.404,0.569,0.973,0.422,149.6,1.96,두산,2016,C,48000.0
김혜성,4.8,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,0.318,0.373,0.403,0.776,0.36,123.9,1.26,키움,2022,2B,32000.0
김현수,4.79,117,511,453,95,164,39,2,20,267,101,1,3,47,1,6,61,9,0,10,0.362,0.415,0.589,1.004,0.424,155.2,4.23,LG,2018,LF,
로맥,4.78,141,616,528,102,167,19,0,43,315,107,10,5,72,10,0,123,7,0,6,0.316,0.404,0.597,1.001,0.422,144.1,3.95,SSG,2018,1B,
최지훈,4.78,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,0.304,0.362,0.426,0.788,0.357,120.8,1.77,SSG,2022,CF,
