선수,연도,팀,연봉,WAR
헥터,2016,KIA,"170,000",6.644
윤석민,2016,KIA,"125,000",0.877
양현종,2016,KIA,"75,000",5.692
이범호,2016,KIA,"65,000",4.629
임창용,2016,KIA,"50,000",0.847
김주찬,2016,KIA,"50,000",4.271
나지완,2016,KIA,"20,000",3.695
김병현,2016,KIA,"15,000",
안치홍,2016,KIA,"15,000",-0.124
김원섭,2016,KIA,"15,000",0.008
심동섭,2016,KIA,"14,000",-0.238
김선빈,2016,KIA,"13,000",0.284
최영필,2016,KIA,"13,000",1.514
김진우,2016,KIA,"12,000",0.259
신종길,2016,KIA,"12,000",0.582
김광수,2016,KIA,"10,000",0.699
고효준,2016,KIA,"8,000",
이홍구,2016,KIA,"7,000",0.607
김다원,2016,KIA,"7,000",0.239
한승혁,2016,KIA,"7,000",0.334
이성우,2016,KIA,"6,500",-0.259
한기주,2016,KIA,"6,500",-0.274
백용환,2016,KIA,"6,000",-0.405
강한울,2016,KIA,"6,000",-0.058
고영우,2016,KIA,"6,000",-0.387
김호령,2016,KIA,"6,000",1.640
서동욱,2016,KIA,"5,800",2.661
곽정철,2016,KIA,"5,500",-0.106
김주형,2016,KIA,"5,500",1.626
홍건희,2016,KIA,"4,500",1.521
박찬호,2016,KIA,"3,700",-0.330
이호신,2016,KIA,"3,600",-0.325
홍재호,2016,KIA,"3,400",-0.140
박준태,2016,KIA,"3,400",
임기준,2016,KIA,"3,300",0.169
배힘찬,2016,KIA,"3,300",-0.040
오준혁,2016,KIA,"3,300",0.283
노수광,2016,KIA,"3,000",1.359
황대인,2016,KIA,"3,000",0.165
이은총,2016,KIA,"3,000",
이인행,2016,KIA,"3,000",
최병연,2016,KIA,"3,000",-0.204
윤정우,2016,KIA,"2,900",0.408
김명찬,2016,KIA,"2,900",0.231
전은석,2016,KIA,"2,800",
정용운,2016,KIA,"2,800",-0.130
박상옥,2016,KIA,"2,800",
박진두,2016,KIA,"2,800",
백세웅,2016,KIA,"2,800",
정동현,2016,KIA,"2,700",0.106
이진영,2016,KIA,"2,700",-0.505
한승택,2016,KIA,"2,700",-0.258
김윤동,2016,KIA,"2,700",0.651
김규성,2016,KIA,"2,700",
최원준,2016,KIA,"2,700",0.226
전상현,2016,KIA,"2,700",-0.165
이준영,2016,KIA,"2,700",-0.141
이종석,2016,KIA,"2,700",
신범수,2016,KIA,"2,700",
서덕원,2016,KIA,"2,700",
남재현,2016,KIA,"2,700",
박정수,2016,KIA,"2,700",
박동민,2016,KIA,"2,700",
문경찬,2016,KIA,"2,700",
류승현,2016,KIA,"2,700",
김현준,2016,KIA,"2,700",
백재엽,2016,KIA,0,
필,2016,KIA,0,2.434
최현정,2016,KIA,0,
최용규,2016,KIA,0,
신창호,2016,KIA,0,
지크,2016,KIA,0,1.543
이승우,2016,KIA,0,
이범석,2016,KIA,0,
김준,2016,KIA,0,
김민우,2016,KIA,0,-0.477
윤완주,2016,KIA,0,
유창식,2016,KIA,0,-0.094
전우엽,2016,KIA,0,
오두철,2016,KIA,0,
전현태,2016,KIA,0,
김지훈,2016,KIA,0,
김태영,2016,KIA,0,
임한용,2016,KIA,0,
이승엽,2016,삼성,"100,000",2.664
윤성환,2016,삼성,"80,000",4.127
장원삼,2016,삼성,"75,000",-0.500
최형우,2016,삼성,"70,000",7.959
박한이,2016,삼성,"45,000",1.479
조동찬,2016,삼성,"40,000",0.479
차우찬,2016,삼성,"40,000",3.178
김상수,2016,삼성,"31,000",-0.198
이지영,2016,삼성,"21,000",1.182
배영섭,2016,삼성,"16,000",0.881
박해민,2016,삼성,"15,000",3.192
백정현,2016,삼성,"15,000",0.746
심창민,2016,삼성,"14,000",2.791
박근홍,2016,삼성,"11,000",-0.266
김대우,2016,삼성,"11,000",0.834
구자욱,2016,삼성,"8,000",4.193
권오준,2016,삼성,"7,000",1.200
정인욱,2016,삼성,"6,000",-0.366
이영욱,2016,삼성,"5,500",-0.125
우동균,2016,삼성,"5,500",0.102
신용운,2016,삼성,"5,500",-0.061
최재원,2016,삼성,"5,000",1.231
김현우,2016,삼성,"4,500",0.422
백상원,2016,삼성,"4,500",1.615
김기태,2016,삼성,"4,000",0.045
나성용,2016,삼성,"3,700",-0.135
최선호,2016,삼성,"3,500",-0.549
이상훈,2016,삼성,"3,500",-0.220
임현준,2016,삼성,"3,300",-0.129
김정혁,2016,삼성,"3,300",-0.286
박찬도,2016,삼성,"3,100",
성의준,2016,삼성,"3,000",-0.048
윤영수,2016,삼성,"2,900",
박계범,2016,삼성,"2,900",0.020
안성무,2016,삼성,"2,900",
최민구,2016,삼성,"2,900",
윤대경,2016,삼성,"2,800",
장필준,2016,삼성,"2,800",0.989
김응민,2016,삼성,"2,800",
정광운,2016,삼성,"2,800",
구준범,2016,삼성,"2,800",
김성표,2016,삼성,"2,800",
문선엽,2016,삼성,"2,800",
김승현,2016,삼성,"2,700",0.080
황수범,2016,삼성,"2,700",
이케빈,2016,삼성,"2,700",
황선도,2016,삼성,"2,700",0.030
임대한,2016,삼성,"2,700",0.260
김기환,2016,삼성,"2,700",
김성훈,2016,삼성,"2,700",
최충연,2016,삼성,"2,700",-0.355
권정웅,2016,삼성,"2,700",0.068
정두산,2016,삼성,"2,700",
김동호,2016,삼성,"2,700",-0.065
김융,2016,삼성,"2,700",
박민규,2016,삼성,"2,700",0.135
이성규,2016,삼성,"2,700",-0.087
김성한,2016,삼성,"2,700",
벨레스터,2016,삼성,0,-0.298
김건한,2016,삼성,0,0.238
최승민,2016,삼성,0,
배진호,2016,삼성,0,
최주엽,2016,삼성,0,
이정식,2016,삼성,0,-0.183
발디리스,2016,삼성,0,0.554
플란데,2016,삼성,0,-0.870
박상원,2016,삼성,0,
서동환,2016,삼성,0,
조현근,2016,삼성,0,-0.147
레온,2016,삼성,0,-0.284
이병규,2016,삼성,0,
웹스터,2016,삼성,0,0.804
김태완,2016,삼성,0,-0.298
우병걸,2016,삼성,0,
남기효,2016,삼성,0,
안지만,2016,삼성,0,0.037
정민우,2016,삼성,0,
