이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,소속팀,연도,연봉
알칸타라,8.31,31,1,0,31,20,2,0,0,198.2,58,56,795,174,38,3,12,30,0,9,182,1,3,2.54,3.1,1.03,182.6,149.7,4.35,두산,2020,
양현종,8.14,32,1,1,31,15,6,0,1,184.1,52,50,756,150,27,2,18,78,0,7,157,0,6,2.44,4.57,1.24,202.1,108.5,3.94,KIA,2015,75000.0
안우진,7.92,30,1,0,30,15,8,0,0,196.0,51,46,766,131,36,4,4,55,1,4,224,1,7,2.11,2.21,0.95,189.3,179.1,5.65,키움,2022,15000.0
스트레일리,7.53,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.5,3.01,1.02,195.1,159.0,3.84,롯데,2020,90000.0
스트레일리,7.53,31,0,0,31,15,4,0,0,194.2,61,54,777,148,27,2,10,51,0,7,205,0,4,2.5,3.01,1.02,195.1,159.0,3.84,롯데,2020,50000.0
양현종,7.35,29,2,2,29,16,8,0,0,184.2,56,47,731,165,32,1,6,33,0,2,163,0,1,2.29,2.63,1.07,183.1,160.3,3.81,KIA,2019,230000.0
브룩스,7.16,23,1,1,23,11,4,0,0,151.1,43,42,586,131,18,0,4,24,0,3,130,1,3,2.5,2.72,1.02,192.2,177.8,3.39,KIA,2020,100000.0
미란다,7.09,28,1,1,28,14,5,0,0,173.2,49,45,709,135,21,1,11,63,0,1,225,1,7,2.33,2.67,1.14,185.0,161.1,3.27,두산,2021,160000.0
린드블럼,6.86,30,0,0,30,20,3,0,0,194.2,57,54,773,165,22,3,13,29,0,6,189,0,7,2.5,2.87,1.0,164.4,141.5,4.44,두산,2019,
린드블럼,6.81,26,0,0,26,15,4,0,0,168.2,56,54,681,142,33,2,16,38,0,8,157,0,10,2.88,4.02,1.07,175.4,125.2,2.06,두산,2018,170000.0
헥터,6.64,31,3,1,31,15,5,0,0,206.2,88,78,868,211,34,3,7,51,0,6,139,0,7,3.4,3.72,1.27,152.5,140.6,1.87,KIA,2016,170000.0
린드블럼,6.48,32,2,1,32,13,11,0,0,210.0,86,83,861,196,32,3,28,52,0,12,180,0,12,3.56,4.55,1.18,141.7,108.6,1.95,롯데,2015,120000.0
김광현,6.39,31,0,0,30,17,6,0,0,190.1,64,53,786,198,17,0,13,38,1,2,180,0,8,2.51,3.01,1.24,169.8,142.2,3.28,SSG,2019,
윌슨,6.31,26,1,1,26,9,4,0,0,170.0,63,58,689,158,23,3,11,35,1,6,149,1,10,3.07,3.63,1.14,164.3,139.4,2.72,LG,2018,
김광현,6.1,28,0,0,28,13,3,0,0,173.1,48,41,694,141,16,2,10,45,2,5,153,0,1,2.13,3.15,1.07,195.5,132.7,3.63,SSG,2022,
니퍼트,5.97,28,1,1,27,22,3,0,0,167.2,61,55,701,151,19,3,15,57,0,9,142,0,8,2.95,4.44,1.24,173.1,113.2,2.69,두산,2016,210000.0
켈리,5.95,31,0,0,31,9,8,0,0,200.1,91,82,846,205,35,3,15,60,0,7,152,2,8,3.68,4.25,1.32,141.7,122.9,1.32,SSG,2016,85000.0
산체스,5.93,28,0,0,28,17,5,0,0,165.0,51,48,671,151,18,2,2,42,0,2,148,2,11,2.62,2.57,1.17,162.5,163.8,3.64,SSG,2019,
헥터,5.8,30,1,0,30,20,5,0,0,201.2,83,78,854,221,36,4,21,45,1,5,149,0,7,3.48,4.34,1.32,142.7,115.0,1.34,KIA,2017,0.0
브리검,5.78,31,2,1,30,11,7,0,1,199.0,89,85,829,188,28,3,19,50,0,19,175,0,4,3.84,4.36,1.2,134.1,117.4,0.2,키움,2018,
양현종,5.69,31,3,0,31,10,12,0,0,200.1,96,82,850,191,31,2,19,77,0,2,146,2,6,3.68,4.75,1.34,140.6,109.9,0.23,KIA,2016,150000.0
요키시,5.68,30,0,0,30,10,8,0,0,185.1,61,53,746,169,31,3,8,33,0,5,154,0,2,2.57,2.85,1.09,155.4,138.8,3.57,키움,2022,90000.0
장원준,5.67,27,0,0,27,15,6,0,0,168.0,66,62,727,161,23,6,14,76,0,9,137,0,8,3.32,4.76,1.41,153.9,105.9,1.29,두산,2016,100000.0
해커,5.64,31,1,0,31,19,5,0,0,204.0,81,71,833,174,34,0,14,36,1,25,164,0,6,3.13,3.78,1.03,152.9,129.0,3.14,NC,2015,60000.0
루친스키,5.59,30,0,0,30,19,5,0,0,183.0,67,62,770,173,12,3,14,57,0,11,167,0,11,3.05,3.84,1.26,160.2,125.8,3.04,NC,2020,100000.0
요키시,5.53,27,0,0,27,12,7,0,0,159.2,53,38,640,144,26,3,6,25,0,6,115,1,3,2.14,3.19,1.06,220.3,147.3,3.2,키움,2020,55000.0
장원준,5.41,29,1,1,29,14,9,0,0,180.1,70,63,760,172,26,2,12,51,2,14,125,0,3,3.14,4.26,1.24,153.1,114.0,1.41,두산,2017,100000.0
백정현,5.28,27,0,0,27,14,5,0,0,157.2,54,46,648,142,25,1,15,54,2,2,109,0,5,2.63,4.21,1.24,171.9,107.3,1.78,삼성,2021,80000.0
수아레즈,5.28,30,0,0,29,6,8,0,0,173.2,61,48,714,151,19,0,7,50,0,4,159,0,6,2.49,2.96,1.16,167.8,138.0,2.7,삼성,2022,70000.0
김광현,5.26,25,0,0,25,11,8,0,0,136.0,48,45,554,125,16,2,16,30,0,2,130,0,3,2.98,4.16,1.14,176.5,127.4,1.91,SSG,2018,
피어밴드,5.26,26,1,1,26,8,10,0,0,160.0,67,54,657,153,19,4,20,31,0,7,132,0,4,3.04,4.42,1.15,166.9,112.8,1.0,kt,2017,0.0
고영표,5.23,26,1,1,25,11,6,0,1,166.2,59,54,664,147,20,2,9,27,1,14,130,0,1,2.92,3.19,1.04,154.0,139.2,2.27,kt,2021,30000.0
양현종,5.21,29,3,0,29,13,11,0,0,184.1,88,85,772,199,33,0,21,43,1,2,152,0,5,4.15,4.38,1.31,123.7,117.9,-1.06,,2018,
폰트,5.19,28,1,0,28,13,6,0,0,184.0,63,55,729,141,22,3,18,34,1,6,170,0,5,2.69,3.4,0.95,154.7,124.1,2.91,SSG,2022,
켈리,5.19,27,0,0,27,16,4,0,0,166.1,50,47,664,144,10,4,10,35,0,2,153,0,3,2.54,2.95,1.08,156.3,134.7,3.45,LG,2022,90000.0
밴헤켄,5.12,32,0,0,32,15,8,0,0,196.2,92,79,825,190,36,3,14,67,1,1,193,0,16,3.62,3.6,1.31,137.7,137.6,0.54,키움,2015,65000.0
신재영,5.08,30,0,0,30,15,7,0,0,168.2,76,73,718,192,35,6,19,21,0,11,99,1,2,3.9,4.65,1.26,134.8,111.3,1.09,키움,2016,11000.0
켈리,5.06,30,0,0,30,16,7,0,0,190.0,85,76,815,204,38,3,16,45,2,11,189,1,9,3.6,3.69,1.31,139.8,136.9,1.6,SSG,2017,
레일리,5.03,30,1,0,30,13,7,0,0,187.1,87,79,798,199,39,2,19,44,0,17,156,1,3,3.8,4.37,1.3,132.7,115.2,1.25,롯데,2017,111000.0
허프,4.96,19,2,0,17,6,4,0,0,124.2,37,33,490,100,20,2,7,14,0,2,98,0,2,2.38,3.28,0.91,203.3,148.5,2.93,LG,2017,
켈리,4.96,30,0,0,30,13,8,0,0,177.0,64,62,744,160,25,0,12,60,3,11,142,1,7,3.15,3.76,1.24,136.8,115.1,1.61,LG,2021,90000.0
소사,4.95,27,1,1,27,9,9,0,0,181.1,83,71,760,192,44,1,16,28,1,4,181,0,6,3.52,3.5,1.21,143.2,143.3,0.16,LG,2018,
우규민,4.95,25,1,0,25,11,9,0,0,152.2,64,58,621,163,26,5,13,17,0,12,119,0,2,3.42,3.73,1.18,137.3,125.5,0.99,LG,2015,40000.0
해커,4.88,23,0,0,23,13,3,0,0,140.2,57,54,587,132,18,1,14,31,0,10,119,0,5,3.45,4.27,1.16,147.3,120.5,0.54,NC,2016,60000.0
플럿코,4.79,28,0,0,28,15,5,0,0,162.0,53,43,644,125,18,2,13,38,2,2,149,0,6,2.39,3.25,1.01,166.4,121.6,2.44,LG,2022,50000.0
보우덴,4.78,30,1,1,30,18,7,0,0,180.0,83,76,742,159,24,2,17,54,0,6,160,2,8,3.8,4.24,1.18,134.5,118.3,1.03,두산,2016,0.0
원태인,4.76,26,0,0,26,14,7,0,0,158.2,59,54,655,147,32,1,11,51,1,5,129,1,5,3.06,3.65,1.25,147.4,123.4,2.41,삼성,2021,30000.0
니퍼트,4.74,29,0,0,28,8,8,0,0,175.2,88,83,765,209,33,4,26,39,2,9,165,0,9,4.25,4.66,1.41,124.6,111.4,-0.06,,2018,
뷰캐넌,4.68,27,1,0,27,15,7,0,0,174.2,71,67,728,172,19,2,16,50,0,7,121,0,2,3.45,4.34,1.27,142.1,112.2,1.62,삼성,2020,60000.0
요키시,4.66,31,0,0,31,16,9,0,0,181.1,71,59,739,171,24,0,12,46,2,4,131,0,9,2.93,3.54,1.2,151.4,122.4,1.62,키움,2021,90000.0
루친스키,4.64,30,2,0,30,9,9,0,0,177.1,68,60,731,164,20,1,13,45,0,11,119,0,7,3.05,3.96,1.18,138.4,106.6,2.51,NC,2019,100000.0
박세웅,4.63,28,0,0,28,12,6,0,0,171.1,74,70,725,170,25,1,21,56,2,9,117,0,7,3.68,5.07,1.32,137.0,99.3,1.23,롯데,2017,25000.0
구창모,4.62,15,0,0,14,9,0,0,1,93.1,20,18,348,58,12,0,7,18,0,0,102,0,2,1.74,2.92,0.81,281.5,165.6,2.8,NC,2020,18000.0
양현종,4.56,31,1,0,31,20,6,0,0,193.1,88,74,808,209,32,2,17,45,0,0,158,0,14,3.44,3.94,1.31,144.2,126.8,1.31,KIA,2017,230000.0
뷰캐넌,4.55,30,1,1,30,16,5,0,0,177.0,71,61,758,173,25,4,13,59,2,2,162,0,7,3.1,3.46,1.31,145.5,130.3,1.66,삼성,2021,110000.0
고영표,4.5,28,1,1,28,13,8,0,0,182.1,69,66,758,191,31,3,7,23,1,16,156,0,1,3.26,2.75,1.17,126.4,148.2,2.38,kt,2022,30000.0
해커,4.5,26,1,0,26,12,7,0,0,160.1,64,61,672,159,19,2,14,29,1,14,97,2,6,3.42,4.45,1.17,144.8,112.4,1.4,NC,2017,
채드벨,4.49,29,0,0,29,11,10,0,0,177.1,73,69,749,169,33,2,14,63,0,10,134,1,8,3.5,4.15,1.31,118.3,100.2,1.53,한화,2019,40000.0
루친스키,4.48,30,0,0,30,15,10,0,0,178.2,76,63,754,160,24,1,12,55,0,10,177,2,6,3.17,3.32,1.2,143.1,135.9,1.88,NC,2021,160000.0
수아레즈,4.43,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16,2,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,2.6,LG,2021,
켈리,4.4,30,1,0,29,11,10,0,0,181.0,87,83,775,188,28,1,16,54,1,5,139,2,9,4.13,4.19,1.34,117.0,115.8,-0.13,SSG,2015,75000.0
유희관,4.4,30,1,1,30,18,5,0,0,189.2,84,83,786,193,33,5,23,44,0,4,126,1,4,3.94,4.62,1.25,119.0,100.2,0.64,두산,2015,40000.0
루친스키,4.38,31,0,0,31,10,12,0,0,193.2,77,64,797,184,34,2,14,34,1,8,194,0,9,2.97,2.91,1.13,136.9,140.9,2.8,NC,2022,
스튜어트,4.32,19,0,0,19,8,2,0,0,117.2,37,35,488,116,16,1,7,26,0,6,109,1,4,2.68,3.35,1.21,179.0,145.5,1.46,NC,2015,0.0
소형준,4.28,27,0,0,27,13,6,0,0,171.1,68,58,703,158,16,6,8,39,1,5,117,0,6,3.05,3.33,1.15,135.2,122.3,1.41,kt,2022,20000.0
켈리,4.26,28,1,1,28,15,7,0,0,173.1,67,64,705,160,29,1,16,40,0,11,134,0,4,3.32,4.09,1.15,139.3,112.7,1.64,LG,2020,90000.0
피가로,4.24,25,1,0,25,13,7,0,0,165.0,66,62,688,154,26,3,16,51,0,7,117,0,6,3.38,4.51,1.24,146.0,108.9,1.55,삼성,2015,
소사,4.23,32,2,1,30,10,12,0,1,194.1,102,87,809,199,39,7,16,36,0,5,177,1,6,4.03,3.5,1.21,116.5,134.0,-1.1,LG,2015,50000.0
요키시,4.23,30,1,1,30,13,9,0,0,181.1,72,63,746,166,33,5,9,39,0,11,141,0,6,3.13,3.32,1.13,132.4,124.5,1.09,키움,2019,55000.0
차우찬,4.23,28,0,0,28,10,7,0,0,175.2,75,67,732,171,33,4,20,38,0,7,157,0,10,3.43,4.2,1.19,141.1,114.3,1.27,LG,2017,100000.0
서폴드,4.22,31,0,0,31,12,11,0,0,192.1,84,75,810,191,28,4,8,54,1,8,135,0,8,3.51,3.49,1.27,118.0,119.3,1.73,한화,2019,
소사,4.17,30,2,1,29,11,11,1,0,185.1,86,80,769,189,36,9,11,38,0,3,153,0,3,3.88,3.52,1.23,124.7,138.2,0.5,LG,2017,120000.0
피어밴드,4.16,31,0,0,30,7,13,0,0,182.0,97,90,803,231,39,1,23,48,0,10,144,3,6,4.45,4.81,1.53,117.8,108.1,-1.34,키움,2016,
최원준,4.13,29,0,0,29,12,4,0,0,158.1,65,58,673,160,31,4,15,37,1,10,113,0,0,3.3,4.01,1.24,130.8,107.1,1.17,두산,2021,34000.0
윤성환,4.13,28,1,0,28,11,10,0,0,180.0,95,87,767,202,35,3,25,41,0,13,85,1,6,4.35,5.55,1.35,121.2,93.9,-1.03,삼성,2016,80000.0
유희관,4.13,30,0,0,29,15,6,0,0,185.2,95,91,809,212,39,3,22,58,0,6,102,0,5,4.41,5.27,1.45,115.9,94.9,-0.36,두산,2016,50000.0
후랭코프,4.12,28,0,0,28,18,3,0,0,149.1,64,62,621,118,17,1,12,55,1,22,134,0,15,3.74,4.61,1.16,135.3,110.0,1.18,두산,2018,110000.0
손승락,4.12,61,0,0,0,1,3,37,0,62.0,16,15,250,59,3,1,7,11,2,1,62,1,0,2.18,3.69,1.13,231.4,136.8,2.62,롯데,2017,70000.0
로켓,4.1,21,1,0,21,9,9,0,0,124.0,44,41,540,132,20,2,5,42,1,12,112,1,1,2.98,3.33,1.4,144.9,130.9,1.0,두산,2021,
레일리,4.08,30,0,0,30,5,14,0,0,181.0,88,78,791,191,32,4,10,65,1,8,140,1,10,3.88,3.77,1.41,108.1,111.1,0.2,롯데,2019,
김민수,4.01,76,0,0,0,5,4,3,30,80.2,19,17,327,66,13,1,3,15,3,6,91,0,6,1.9,2.24,1.0,217.1,182.9,2.33,kt,2022,11500.0
데스파이네,4.01,33,0,0,33,13,10,0,0,188.2,81,71,819,175,30,3,10,78,0,7,165,0,15,3.39,3.62,1.34,132.6,122.7,0.79,kt,2021,70000.0
김민수,4.01,76,0,0,0,5,4,3,30,80.2,19,17,327,66,13,1,3,15,3,6,91,0,6,1.9,2.24,1.0,217.1,182.9,2.33,삼성,2022,6200.0
김민수,4.01,76,0,0,0,5,4,3,30,80.2,19,17,327,66,13,1,3,15,3,6,91,0,6,1.9,2.24,1.0,217.1,182.9,2.33,KIA,2022,3000.0
박세웅,4.01,28,1,1,28,10,9,0,0,163.0,75,72,685,141,24,0,20,53,0,10,125,0,17,3.98,4.55,1.19,114.3,98.1,-0.23,롯데,2021,26000.0
김민수,4.01,76,0,0,0,5,4,3,30,80.2,19,17,327,66,13,1,3,15,3,6,91,0,6,1.9,2.24,1.0,217.1,182.9,2.33,롯데,2022,5300.0
켈리,3.98,29,0,0,29,14,12,0,0,180.1,70,51,747,164,33,3,7,41,0,16,126,0,12,2.55,3.46,1.14,161.3,118.7,2.39,LG,2019,90000.0
김광현,3.96,30,1,1,29,14,6,0,1,176.2,86,73,754,173,33,0,19,66,2,3,160,0,10,3.72,4.34,1.35,129.9,111.8,1.89,SSG,2015,85000.0
구창모,3.96,19,0,0,19,11,5,0,0,111.2,32,26,451,92,16,0,7,29,0,4,108,0,7,2.1,3.11,1.08,194.4,132.0,2.49,NC,2022,19000.0
이용찬,3.91,25,1,0,24,15,3,0,0,144.0,62,58,608,151,24,1,14,36,2,8,102,0,6,3.63,4.56,1.3,139.4,110.8,0.45,두산,2018,
윤성환,3.91,30,3,1,30,17,8,0,0,194.0,86,81,809,199,34,4,27,30,0,10,164,0,1,3.76,4.35,1.18,131.4,112.8,0.67,삼성,2015,80000.0
켈리,3.89,28,0,0,28,12,7,0,0,158.1,78,72,674,152,28,3,18,47,1,13,161,2,5,4.09,4.4,1.26,128.5,120.4,-0.45,SSG,2018,
고우석,3.89,64,0,0,0,8,2,34,1,70.0,13,12,284,47,7,1,4,29,4,4,76,0,2,1.54,3.22,1.09,266.1,126.7,3.58,LG,2019,22000.0
윤석민,3.87,51,0,0,0,2,6,30,0,70.0,23,23,297,69,11,4,4,24,7,2,68,0,1,2.96,3.23,1.33,166.8,155.3,1.59,KIA,2015,125000.0
레일리,3.87,31,1,0,30,11,9,0,0,179.1,93,78,768,182,27,2,20,57,2,15,134,2,13,3.91,4.74,1.33,128.8,103.9,0.72,롯데,2015,63000.0
문승원,3.82,25,1,0,25,6,8,0,0,145.2,64,59,610,136,29,0,13,45,0,6,117,0,2,3.65,4.16,1.24,132.3,117.1,0.65,SSG,2020,
정우람,3.82,57,0,0,0,4,3,26,0,58.1,11,10,237,57,8,0,4,16,4,1,48,1,2,1.54,3.32,1.25,268.5,125.1,2.59,한화,2019,80000.0
박진우,3.82,41,0,0,18,9,7,0,5,140.2,53,49,590,137,18,0,9,29,0,19,92,0,2,3.14,3.95,1.18,134.4,106.8,2.46,NC,2019,16000.0
뷰캐넌,3.8,26,1,1,26,11,8,0,0,160.0,61,54,691,176,28,2,10,39,0,8,117,0,2,3.04,3.57,1.34,137.4,115.2,1.83,삼성,2022,110000.0
정해영,3.79,64,0,0,0,5,4,34,0,65.1,18,16,272,49,10,0,5,28,1,4,49,0,1,2.2,4.25,1.18,201.8,104.7,2.88,KIA,2021,17000.0
피어밴드,3.78,27,1,0,26,8,8,0,0,163.1,90,78,707,186,27,1,24,38,0,6,141,0,5,4.3,4.83,1.37,123.3,107.7,-1.28,,2018,
윤성환,3.73,28,1,0,28,12,9,0,0,174.1,86,83,731,181,39,4,22,37,0,15,130,0,3,4.28,4.78,1.25,118.4,105.4,0.77,삼성,2017,80000.0
킹엄,3.72,25,0,0,25,10,8,0,0,144.0,58,51,591,117,22,0,11,41,1,5,131,2,4,3.19,3.44,1.1,137.4,129.2,1.6,한화,2021,
파슨스,3.71,24,1,0,24,4,8,0,0,133.0,56,55,577,109,16,2,9,63,0,11,148,1,10,3.72,3.66,1.29,122.0,123.3,0.5,NC,2021,44000.0
고우석,3.71,61,0,0,0,4,2,42,0,60.2,12,10,240,37,7,1,6,21,4,1,80,0,5,1.48,2.88,0.96,267.9,136.1,3.49,LG,2022,27000.0
류제국,3.7,29,1,1,29,13,11,0,0,161.1,83,77,701,152,25,0,14,70,0,21,138,0,13,4.3,4.9,1.38,118.4,102.5,-0.55,LG,2016,35000.0
브리검,3.69,28,0,0,28,13,5,0,0,158.1,62,52,669,148,32,2,5,46,0,12,130,1,7,2.96,3.27,1.23,140.0,126.9,1.21,키움,2019,80000.0
김광현,3.69,27,1,0,21,11,8,0,1,137.0,68,59,583,139,21,2,17,41,2,6,116,0,3,3.88,4.7,1.31,134.7,111.7,-0.94,SSG,2016,90000.0
옥스프링,3.68,31,3,0,31,12,10,0,0,185.0,104,92,806,200,33,0,23,66,0,10,142,0,5,4.48,4.93,1.44,112.3,99.2,-2.22,kt,2015,
최원태,3.66,23,1,0,23,13,7,0,0,134.1,62,59,577,144,28,0,8,35,0,11,101,0,3,3.95,4.13,1.33,130.4,124.5,0.77,키움,2018,
김재웅,3.62,65,0,0,0,3,2,13,27,62.2,14,14,254,39,8,1,4,29,2,4,56,0,4,2.01,3.87,1.09,198.9,102.3,3.51,키움,2022,10400.0
유희관,3.55,28,2,0,27,11,8,0,0,166.1,67,60,692,171,37,2,8,42,3,3,64,0,2,3.25,4.02,1.28,126.5,102.3,1.7,두산,2019,47000.0
레일리,3.52,31,1,1,31,8,10,0,0,184.2,105,89,808,207,36,4,21,51,1,17,147,2,5,4.34,4.77,1.4,120.5,109.6,-1.55,롯데,2016,85000.0
플렉센,3.51,21,0,0,21,8,4,0,0,116.2,43,39,472,97,14,0,6,30,2,2,132,0,5,3.01,2.73,1.09,154.0,169.7,1.01,두산,2020,
놀린,3.49,21,0,0,21,8,8,0,0,124.0,41,34,512,115,19,2,7,24,1,8,108,1,4,2.47,3.08,1.12,165.2,133.0,1.79,,2022,
박종훈,3.48,29,0,0,28,12,7,0,1,151.1,74,69,664,145,26,0,16,61,1,25,107,0,4,4.1,5.38,1.36,122.7,93.8,0.23,SSG,2017,20000.0
팻딘,3.46,30,1,0,29,9,7,0,0,176.0,86,81,770,211,39,3,22,39,1,16,143,0,3,4.14,4.66,1.42,120.0,107.3,0.5,KIA,2017,0.0
니퍼트,3.44,30,0,0,30,14,8,0,0,179.2,88,81,782,175,35,5,20,77,0,10,161,0,13,4.06,4.84,1.4,118.6,99.2,0.34,두산,2017,
쿠에바스,3.44,30,0,0,30,13,10,0,0,184.0,80,74,760,153,21,6,18,63,0,12,135,0,4,3.62,4.43,1.17,114.3,92.7,1.22,kt,2019,60000.0
노경은,3.41,33,0,0,19,9,6,0,0,132.1,65,60,547,127,24,3,18,30,1,4,89,0,1,4.08,5.0,1.19,127.8,104.5,0.27,롯데,2018,
윌슨,3.4,30,1,0,30,14,7,0,0,185.0,77,60,763,171,27,2,7,43,1,11,137,0,6,2.92,3.27,1.16,140.6,125.4,1.88,LG,2019,90000.0
최원태,3.39,25,0,0,25,11,7,0,0,149.1,76,74,637,161,24,3,19,34,0,12,126,1,5,4.46,4.63,1.31,111.5,105.6,0.7,키움,2017,15000.0
박종훈,3.38,30,0,0,30,14,8,0,0,159.1,81,74,702,158,31,3,16,54,0,20,133,0,3,4.18,4.86,1.33,125.8,108.3,-0.38,SSG,2018,
조상우,3.36,70,0,0,0,8,5,5,19,93.1,36,32,382,65,15,2,4,41,1,6,89,0,7,3.09,3.74,1.14,161.3,131.8,0.55,키움,2015,17000.0
최채흥,3.35,26,1,1,26,11,6,0,0,146.0,67,58,617,131,27,1,12,51,0,7,123,3,3,3.58,4.13,1.25,137.2,117.7,1.32,삼성,2020,16000.0
엄상백,3.31,33,0,0,22,11,2,0,0,140.1,52,46,581,125,24,2,14,46,0,4,139,0,1,2.95,3.72,1.22,139.6,109.6,1.7,kt,2022,8000.0
스튜어트,3.29,27,0,0,27,12,8,0,0,150.0,79,76,653,160,20,0,11,55,1,8,118,0,4,4.56,4.41,1.43,111.6,116.9,-0.03,NC,2016,
밴헤켄,3.29,24,0,0,24,8,7,0,0,138.1,68,58,591,140,24,1,13,42,0,2,139,0,4,3.77,3.9,1.32,131.8,125.7,-0.42,키움,2017,
정우람,3.26,61,0,0,0,8,5,16,1,81.0,33,30,331,64,14,1,7,26,6,4,85,1,5,3.33,3.71,1.11,157.5,141.0,1.95,한화,2016,120000.0
임창민,3.25,65,0,0,0,1,3,26,6,70.0,22,20,302,61,9,0,5,30,0,5,91,1,8,2.57,3.62,1.3,198.0,141.3,1.69,NC,2016,22500.0
정우람,3.24,69,0,0,0,7,5,16,11,70.0,25,25,287,52,12,0,3,28,5,1,90,0,3,3.21,2.63,1.14,150.3,181.6,1.38,SSG,2015,
함덕주,3.22,35,0,0,24,9,8,0,2,137.1,61,56,598,128,27,1,8,64,2,4,139,1,3,3.67,3.91,1.4,131.2,124.2,0.52,두산,2017,16000.0
데스파이네,3.21,35,0,0,34,15,8,0,0,207.2,105,100,906,233,36,1,18,68,1,8,152,0,18,4.33,4.3,1.45,110.9,110.7,0.38,kt,2020,45000.0
정우영,3.21,70,0,0,0,7,3,2,27,65.0,16,16,263,43,9,0,0,26,1,8,41,0,2,2.22,3.59,1.06,194.7,123.3,1.94,LG,2021,28000.0
차우찬,3.18,24,1,0,24,12,6,0,0,152.1,87,80,671,168,30,2,16,65,0,8,120,0,5,4.73,5.02,1.53,111.5,103.9,-0.21,삼성,2016,
고우석,3.13,63,0,0,0,1,5,30,0,58.0,15,14,240,47,10,1,3,23,5,3,68,0,1,2.17,2.75,1.21,198.6,157.6,-0.2,LG,2021,27000.0
강재민,3.12,58,0,0,0,2,1,5,13,63.1,16,15,269,51,13,0,2,26,3,5,55,1,1,2.13,3.33,1.22,205.5,133.7,1.1,한화,2021,15000.0
모리만도,3.12,12,0,0,12,7,1,0,0,75.1,19,14,304,57,8,0,2,23,0,4,67,0,2,1.67,2.98,1.06,248.9,139.8,2.28,SSG,2022,
이태양,3.11,29,0,0,25,10,5,0,0,137.1,59,56,591,141,27,2,19,40,1,19,113,1,0,3.67,5.04,1.32,130.5,96.9,0.37,NC,2015,
최원태,3.1,27,0,0,27,11,5,0,0,157.1,68,59,666,165,28,2,5,36,0,5,105,0,5,3.38,3.26,1.28,122.6,127.1,0.6,키움,2019,37000.0
피어밴드,3.1,30,0,0,30,13,11,0,0,177.1,101,92,774,202,34,7,23,61,1,12,137,3,7,4.67,4.97,1.48,106.6,100.0,-1.35,키움,2015,
멩덴,3.09,21,0,0,21,8,3,0,0,120.0,53,48,502,109,18,2,12,35,0,8,104,3,2,3.6,3.97,1.2,123.5,111.9,0.51,,2021,
하재훈,3.09,61,0,0,0,5,3,36,3,59.0,13,13,245,47,11,0,1,26,2,1,64,1,0,1.98,2.73,1.24,214.6,154.7,3.47,SSG,2019,15000.0
최원준,3.08,42,0,0,18,10,2,0,0,123.0,52,52,532,134,23,3,15,35,0,7,94,1,2,3.8,4.64,1.37,121.8,99.0,0.8,두산,2020,5900.0
김재윤,3.08,65,0,0,0,4,3,32,0,67.0,19,18,275,57,8,0,5,24,4,0,64,0,2,2.42,3.29,1.21,185.8,135.2,1.38,kt,2021,28000.0
이영하,3.03,29,1,0,27,17,4,0,0,163.1,70,66,692,148,28,5,5,61,1,10,90,2,5,3.64,3.99,1.28,112.9,103.4,3.13,두산,2019,27000.0
오승환,3.03,64,0,0,0,0,2,44,0,62.0,17,14,252,56,15,3,3,16,3,2,57,0,2,2.03,2.85,1.16,222.1,157.9,4.31,삼성,2021,160000.0
스트레일리,3.02,31,0,0,31,10,12,0,0,165.2,85,75,714,162,25,2,12,66,0,8,164,1,8,4.07,3.63,1.38,111.5,122.8,0.14,롯데,2021,
반즈,3.01,31,0,0,31,12,12,0,0,186.1,87,75,788,175,27,5,8,47,1,18,160,0,7,3.62,3.21,1.19,114.9,127.4,0.56,롯데,2022,46538.0
김세현,2.99,62,0,0,0,2,0,36,0,62.1,19,18,254,66,7,2,2,7,0,0,50,0,4,2.6,2.94,1.17,202.1,177.0,0.84,키움,2016,27000.0
최충연,2.98,70,0,0,0,2,6,8,16,85.0,34,34,344,73,16,2,6,26,1,2,101,0,8,3.6,3.33,1.17,147.3,156.2,1.49,삼성,2018,
조상우,2.98,53,0,0,0,5,3,33,0,54.1,15,13,232,50,5,0,3,18,2,2,64,0,1,2.15,2.91,1.25,219.1,159.0,1.61,키움,2020,33000.0
샘슨,2.97,30,0,0,29,13,8,0,0,161.2,91,84,703,144,26,1,17,79,0,5,195,2,18,4.68,4.35,1.38,113.3,123.2,-0.7,한화,2018,
헥터,2.96,29,1,0,29,11,10,0,0,174.0,102,89,753,209,31,0,25,36,2,4,137,1,4,4.6,4.78,1.41,111.5,107.9,-1.24,,2018,
레일리,2.95,30,0,0,30,11,13,0,0,178.1,106,94,775,180,34,4,24,54,1,18,178,2,4,4.74,4.78,1.31,109.9,109.3,-1.94,롯데,2018,117000.0
함덕주,2.95,62,0,0,0,6,3,27,3,67.0,23,22,293,58,9,1,4,37,3,4,75,0,4,2.96,4.07,1.42,171.0,124.8,1.58,두산,2018,
