이름,WAR,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA,소속팀,연도,연봉
안영명,0.07,4,0,0,0,0,0,0,0,3.1,1,1,13,3,1,0,0,0,0,0,1,0,0,2.7,2.74,0.9,152.5,149.1,-0.0,,2022,
손동현,0.07,23,0,0,0,0,0,0,1,20.1,14,12,91,21,5,0,5,10,1,0,12,0,3,5.31,6.9,1.53,90.5,68.7,-0.06,,2020,
이상우,0.07,2,0,0,0,0,0,0,0,3.1,1,1,14,3,1,0,0,2,0,0,1,0,0,2.7,4.54,1.5,152.5,89.3,-0.01,kt,2022,3000.0
이재익,0.07,11,0,0,0,2,0,0,0,10.0,6,5,51,11,0,0,1,12,1,0,5,0,0,4.5,6.93,2.3,100.3,65.1,-0.22,삼성,2021,3700.0
이동걸,0.07,5,0,0,0,0,0,0,0,5.0,3,3,23,6,1,0,2,2,0,0,1,0,1,5.4,9.79,1.6,97.3,54.0,-0.01,한화,2016,5000.0
홍정우,0.07,30,0,0,0,0,0,0,1,30.0,23,22,139,37,4,1,5,12,0,1,29,0,1,6.6,5.09,1.63,74.3,96.7,-0.23,삼성,2020,3000.0
배장호,0.07,9,0,0,5,0,2,0,0,28.2,21,21,132,35,11,0,5,10,1,5,9,0,0,6.59,6.72,1.57,76.4,73.9,-0.63,롯데,2015,4600.0
손주영,0.07,3,0,0,3,0,1,0,0,12.2,7,7,58,10,3,1,0,8,0,3,8,0,0,4.97,4.68,1.42,79.9,87.2,-0.09,LG,2022,3800.0
강동연,0.06,22,0,0,0,1,2,0,1,24.0,17,16,106,27,6,0,3,11,1,1,17,0,0,6.0,5.14,1.58,81.4,94.3,-0.62,NC,2020,3400.0
박승주,0.06,3,0,0,0,0,0,0,0,4.1,2,2,18,3,1,0,0,3,0,0,1,0,0,4.15,4.95,1.39,106.7,89.4,-0.0,키움,2021,3200.0
최동환,0.06,35,0,0,0,1,2,1,5,38.0,26,24,171,39,7,0,9,15,0,5,31,1,3,5.68,6.76,1.42,85.2,70.1,-0.61,LG,2017,6500.0
정용운,0.06,3,0,0,3,1,0,0,0,10.0,7,7,45,10,0,0,1,8,0,0,5,0,1,6.3,6.53,1.8,81.5,78.9,-0.18,,2018,
김건태,0.06,21,0,0,9,2,3,0,0,53.0,38,32,247,60,11,1,7,24,0,7,39,1,3,5.43,5.83,1.59,95.5,90.1,-0.73,NC,2018,
김승회,0.06,39,0,0,7,7,3,2,2,75.0,52,52,343,96,17,1,13,28,3,4,50,0,2,6.24,5.7,1.65,80.8,87.2,-1.42,롯데,2015,
이명우,0.06,59,0,0,5,2,1,0,6,59.0,44,37,270,78,14,0,5,20,1,2,34,0,3,5.64,4.63,1.66,89.3,106.1,-0.82,롯데,2015,15000.0
안상빈,0.06,13,0,0,0,0,0,0,0,16.0,13,9,84,23,3,1,1,12,0,1,25,0,2,5.06,3.74,2.19,99.3,134.4,-0.08,kt,2015,3700.0
신민혁,0.06,17,0,0,7,2,3,0,0,42.0,27,27,196,57,7,0,10,13,0,3,26,0,0,5.79,6.56,1.67,84.4,74.3,-0.7,NC,2020,2700.0
임기영,0.06,12,0,0,8,2,3,0,0,48.2,33,31,225,67,14,1,7,19,0,2,37,0,0,5.73,5.05,1.77,73.1,82.7,-0.64,KIA,2019,7000.0
이명우,0.06,34,0,0,0,2,0,0,4,26.2,20,17,124,34,3,0,3,7,0,2,15,1,0,5.74,5.09,1.54,87.8,98.8,0.49,롯데,2017,0.0
윤지웅,0.06,10,0,0,0,0,0,0,0,6.1,4,3,33,9,2,0,0,3,0,3,4,0,0,4.26,5.41,1.9,118.3,95.4,-0.23,LG,2018,
이우석,0.06,10,0,0,0,1,0,0,0,9.2,6,6,49,13,4,0,1,7,0,3,8,0,0,5.59,6.13,2.07,81.3,73.5,0.06,NC,2021,3300.0
김원중,0.05,15,0,0,0,0,0,0,1,20.1,15,13,99,21,0,1,1,15,1,3,20,0,1,5.75,4.8,1.77,87.6,101.2,-0.24,롯데,2015,3600.0
이승헌,0.05,8,0,0,8,3,2,0,0,36.2,25,19,157,34,2,1,1,11,1,2,34,1,2,4.66,3.04,1.23,104.5,157.3,-0.3,롯데,2020,2700.0
김범수,0.05,56,0,0,2,4,9,1,9,70.2,44,41,319,68,11,2,2,42,1,2,70,1,8,5.22,3.55,1.56,83.9,125.8,-1.36,한화,2021,9680.0
이명우,0.05,59,0,0,1,0,1,0,2,44.0,36,26,200,59,15,0,1,9,1,0,25,0,3,5.32,3.54,1.55,98.1,147.4,-0.9,롯데,2018,
김태훈,0.05,65,0,0,0,2,4,1,16,58.0,35,32,269,55,5,0,7,39,3,9,49,1,4,4.97,5.54,1.62,90.4,82.1,-0.06,SSG,2021,
박종윤,0.05,1,0,0,1,0,0,0,0,2.0,1,1,13,5,0,0,0,2,0,0,0,0,0,4.5,6.79,3.5,116.7,76.3,-0.1,키움,2016,0.0
이한진,0.05,3,0,0,0,0,0,0,0,4.2,3,2,24,4,0,0,0,5,0,0,1,0,0,3.86,6.4,1.93,125.2,75.9,0.0,SSG,2015,
신재영,0.05,20,0,0,1,0,0,0,0,28.1,18,18,124,35,5,1,3,2,0,4,27,0,1,5.72,3.44,1.31,78.5,133.3,-0.54,SSG,2021,
김성훈,0.05,3,0,0,0,0,0,0,0,3.0,1,1,13,1,0,0,0,4,0,0,3,0,0,3.0,5.56,1.67,160.2,86.0,-0.01,kt,2020,3200.0
민태호,0.05,7,0,0,0,0,0,0,0,8.2,6,6,39,10,2,0,1,3,0,2,7,0,1,6.23,5.35,1.5,79.6,93.4,0.05,NC,2017,4000.0
김정인,0.05,13,0,0,1,0,0,0,0,13.2,10,9,65,19,7,0,0,4,0,1,13,0,1,5.93,2.93,1.68,83.9,171.2,-0.34,키움,2017,3200.0
김건태,0.05,6,0,0,0,0,0,0,0,6.2,4,4,29,2,0,0,1,7,0,0,5,0,3,5.4,6.93,1.35,84.1,65.3,-0.27,NC,2021,5300.0
박웅,0.05,10,0,0,0,0,0,0,0,11.2,7,7,49,12,1,1,0,4,0,3,7,0,0,5.4,3.93,1.37,79.9,112.5,-0.02,두산,2021,3300.0
금민철,0.05,36,0,0,7,4,4,0,3,54.0,40,38,269,81,14,1,3,33,0,3,42,0,2,6.33,4.9,2.11,78.5,101.3,-0.27,키움,2017,
김기태,0.05,17,0,0,15,4,4,0,0,75.0,61,59,343,94,18,1,20,22,0,10,34,0,2,7.08,7.63,1.55,74.5,68.5,-2.34,삼성,2016,6500.0
배민관,0.05,2,0,0,0,0,0,0,0,5.2,4,4,23,5,1,0,3,1,0,0,1,0,0,6.35,10.85,1.06,80.1,43.7,-0.01,LG,2016,3000.0
이상민,0.05,17,0,0,1,0,1,0,1,14.0,10,10,69,17,2,0,4,11,1,1,13,0,2,6.43,7.77,2.0,76.3,63.7,-0.62,삼성,2020,3200.0
정재원,0.05,14,0,0,0,0,0,0,0,21.1,19,18,102,28,7,0,2,9,1,1,16,0,3,7.59,4.78,1.73,69.2,109.5,-0.13,한화,2016,4000.0
오주원,0.05,25,0,0,0,3,1,0,2,18.1,12,11,78,22,2,0,6,0,0,0,13,1,0,5.4,6.39,1.2,87.4,70.6,-0.24,키움,2020,20000.0
전상현,0.05,5,0,0,2,0,0,0,0,10.1,7,7,55,19,4,0,1,5,0,0,7,0,0,6.1,5.19,2.32,84.2,99.5,-0.22,,2018,
김현준,0.05,19,0,0,0,0,1,0,2,19.2,13,12,83,15,1,0,4,12,0,0,19,0,0,5.49,5.88,1.37,81.0,75.4,-0.24,삼성,2021,3300.0
김현준,0.05,19,0,0,0,0,1,0,2,19.2,13,12,83,15,1,0,4,12,0,0,19,0,0,5.49,5.88,1.37,81.0,75.4,-0.24,KIA,2021,3400.0
오석주,0.04,3,0,0,0,0,0,0,0,5.0,3,3,24,6,1,0,2,3,0,0,4,0,1,5.4,8.8,1.8,76.0,44.8,-0.0,LG,2019,3000.0
이승현,0.04,38,0,0,0,3,1,0,3,41.0,28,25,191,46,7,0,5,23,1,4,29,0,1,5.49,5.87,1.68,92.7,85.0,-0.58,LG,2016,
정찬헌,0.04,13,0,0,0,1,1,6,0,10.0,5,2,46,11,4,0,0,6,0,0,11,0,0,1.8,3.0,1.7,228.1,138.1,-0.3,LG,2019,13000.0
험버,0.04,12,0,0,11,3,3,0,0,50.2,38,38,244,62,16,0,11,32,0,5,35,0,6,6.75,7.25,1.86,73.1,68.1,-1.28,KIA,2015,
민태호,0.04,8,0,0,0,1,0,0,0,9.2,7,6,42,11,3,0,1,4,0,1,4,0,2,5.59,5.9,1.55,92.9,89.0,0.08,NC,2018,3600.0
김진성,0.04,42,0,0,0,1,2,0,5,42.0,25,20,178,39,10,1,6,15,1,2,35,1,6,4.29,4.74,1.29,98.3,89.3,-0.31,NC,2019,16000.0
안지만,0.04,31,0,0,0,2,5,5,5,37.1,26,24,173,44,9,1,9,15,0,4,41,0,1,5.79,6.26,1.58,91.1,83.6,-1.14,삼성,2016,
홍상삼,0.04,3,0,0,1,0,0,0,0,5.2,3,3,26,5,0,0,1,4,0,1,5,0,5,4.76,6.58,1.59,86.2,61.2,0.02,두산,2019,
김영규,0.04,20,0,0,13,2,2,0,1,67.2,47,41,296,83,9,2,12,14,0,2,55,2,5,5.45,4.95,1.43,89.6,98.5,-1.22,NC,2020,6300.0
양현,0.04,25,0,0,0,3,2,2,5,36.2,23,21,167,39,5,0,4,17,2,1,14,0,1,5.15,5.3,1.53,77.6,74.7,-0.73,키움,2022,10000.0
고효준,0.04,3,0,0,0,0,0,0,0,2.1,1,1,10,3,0,1,0,0,0,0,1,0,0,3.86,2.48,1.29,111.8,180.1,-0.14,LG,2021,
정회찬,0.04,11,0,0,0,0,0,0,0,9.2,7,7,47,8,2,0,0,9,0,2,2,0,1,6.52,6.79,1.76,80.6,76.3,-0.08,키움,2016,
강동연,0.04,8,0,0,0,1,0,0,0,11.2,8,7,49,10,2,0,2,5,0,0,5,0,0,5.4,6.49,1.29,93.6,77.2,-0.28,두산,2018,
이수민,0.04,4,0,0,0,0,0,0,0,4.2,3,3,23,3,0,0,1,5,0,1,2,0,0,5.79,9.12,1.71,72.2,45.4,-0.1,삼성,2022,
심동섭,0.04,7,0,0,0,0,0,0,1,5.2,4,4,27,7,4,0,0,3,0,0,5,0,0,6.35,3.66,1.77,80.8,141.6,-0.48,,2018,
오현택,0.04,20,0,0,0,1,0,0,4,20.2,14,14,91,29,6,0,3,3,0,2,17,0,0,6.1,4.76,1.55,83.8,104.1,0.23,두산,2016,8000.0
지명성,0.04,2,0,0,0,0,0,0,0,2.0,1,1,10,3,0,0,0,0,0,1,1,0,1,4.5,3.84,1.5,91.5,105.1,0.0,,2022,
남재현,0.04,8,0,0,0,0,0,0,0,15.2,12,7,79,20,5,1,1,11,0,1,8,0,0,4.02,5.66,1.98,119.4,84.7,-0.16,KIA,2020,3100.0
김현수,0.04,1,0,0,0,0,0,0,0,2.0,1,1,9,3,1,0,0,1,0,0,1,0,0,4.5,3.84,2.0,90.6,106.5,-0.0,LG,2022,150000.0
조한욱,0.04,2,0,0,0,0,0,0,0,2.2,1,1,12,4,0,0,0,1,0,0,0,0,0,3.38,4.53,1.88,122.6,92.0,-0.01,kt,2019,2800.0
버틀러,0.04,13,0,0,13,3,6,0,0,73.2,46,39,326,78,18,1,6,28,1,2,49,0,4,4.76,4.31,1.44,88.4,97.8,-1.15,NC,2019,
김민수,0.04,7,0,0,0,0,0,1,0,8.0,6,6,41,14,1,0,1,3,0,0,6,0,1,6.75,5.04,2.13,77.4,103.6,-0.14,kt,2016,
전유수,0.03,18,0,0,0,0,0,0,1,20.2,16,15,103,28,8,0,1,13,1,3,20,0,2,6.53,4.61,1.98,77.1,108.9,-0.44,SSG,2017,8500.0
송창현,0.03,3,0,0,2,0,1,0,0,12.2,9,9,57,15,1,0,4,4,0,0,5,0,0,6.39,7.67,1.5,64.8,54.0,-0.26,한화,2019,3300.0
심재민,0.03,50,0,0,1,2,3,0,1,56.1,45,43,270,68,11,0,3,41,3,7,29,0,9,6.87,5.68,1.94,73.2,87.3,-0.92,kt,2015,4700.0
송윤준,0.03,3,0,0,0,0,0,0,0,4.1,3,3,21,3,0,1,0,2,0,2,3,0,0,6.23,4.72,1.15,65.0,86.4,0.01,한화,2022,4100.0
박동수,0.03,10,0,0,0,0,0,0,0,14.2,10,9,74,11,3,0,0,21,0,1,15,0,1,5.52,5.79,2.18,73.7,71.0,0.04,NC,2022,
장필준,0.03,19,0,0,1,0,3,0,0,30.0,20,19,139,38,11,1,1,15,2,3,17,0,1,5.7,4.24,1.77,73.2,96.3,-1.2,삼성,2022,12000.0
조현우,0.03,3,0,0,0,0,0,0,0,4.0,3,2,15,3,1,0,2,1,0,0,4,0,0,4.5,8.87,1.0,112.0,57.0,-0.01,롯데,2015,
소이현,0.03,13,0,0,0,0,0,0,0,12.1,9,9,59,8,2,0,1,14,0,1,8,0,1,6.57,6.96,1.78,74.4,69.3,-0.1,NC,2020,3100.0
전용훈,0.03,7,0,0,0,0,0,0,0,9.0,7,6,39,11,3,1,0,2,0,0,6,0,0,6.0,3.07,1.44,80.2,162.1,-0.03,두산,2017,
함덕주,0.03,15,0,0,0,0,0,0,0,8.2,6,6,46,10,3,0,0,11,1,0,7,0,2,6.23,5.64,2.42,82.0,91.2,-0.24,두산,2016,7000.0
이명종,0.03,27,0,0,0,4,1,0,4,27.1,17,16,126,28,4,0,3,16,1,2,20,0,1,5.27,5.17,1.61,75.9,76.3,-0.1,키움,2022,3000.0
김진수,0.03,3,0,0,0,0,0,0,0,2.1,1,1,9,2,1,0,0,0,0,0,2,0,0,3.86,1.62,0.86,111.8,276.3,-0.04,LG,2021,
임서준,0.03,2,0,0,1,0,1,0,0,6.1,5,4,31,10,3,0,0,3,0,0,4,0,1,5.68,3.95,2.05,89.6,131.0,-0.12,NC,2016,
이창욱,0.03,2,0,0,0,0,0,0,0,3.0,2,2,13,2,0,0,0,2,0,0,1,0,2,6.0,4.95,1.33,80.5,98.0,-0.0,SSG,2015,
박성민,0.03,4,0,0,0,0,0,0,0,3.1,2,2,15,5,0,0,1,2,0,0,3,0,0,5.4,7.69,2.1,94.7,63.4,-0.03,두산,2016,
박주성,0.03,3,0,0,0,0,0,0,0,2.0,1,1,11,2,0,0,0,3,0,0,1,0,0,4.5,7.06,2.5,104.9,67.2,0.01,키움,2020,2700.0
김경태,0.03,10,0,0,0,0,0,0,0,11.2,10,10,58,17,3,0,2,9,0,0,12,0,1,7.71,6.28,2.23,68.1,83.8,-0.12,한화,2016,3200.0
박종윤,0.03,1,0,0,0,0,0,0,0,4.0,3,3,19,4,0,0,0,4,0,0,2,0,0,6.75,5.74,2.0,73.7,87.6,0.0,키움,2017,
윤석민,0.03,28,0,0,3,0,8,11,0,40.0,32,30,182,55,13,0,9,10,2,0,29,0,5,6.75,5.91,1.63,76.0,87.2,-2.9,KIA,2018,20000.0
이강준,0.03,4,0,0,0,0,0,0,0,5.2,4,4,33,9,1,1,1,5,0,3,3,0,0,6.35,9.03,2.47,75.6,52.3,-0.05,kt,2020,2700.0
조현우,0.02,19,0,0,0,0,0,0,2,12.0,8,6,57,14,3,1,0,4,0,4,5,0,0,4.5,4.51,1.5,91.5,89.6,-0.09,kt,2022,9500.0
박경태,0.02,4,0,0,0,0,0,0,0,6.1,5,4,29,7,2,0,0,2,0,1,6,0,1,5.68,3.36,1.42,90.3,154.3,0.02,KIA,2018,3500.0
박진태,0.02,59,0,0,0,3,3,0,9,65.0,44,43,305,68,11,0,6,36,0,13,45,0,5,5.95,5.41,1.6,74.7,82.3,-1.08,KIA,2021,6000.0
이현호,0.02,16,0,0,0,0,2,0,0,15.1,12,11,75,18,0,0,4,10,0,1,15,1,3,6.46,7.14,1.83,73.2,67.1,-0.84,한화,2020,
양현,0.02,13,0,0,0,0,0,0,0,10.1,7,6,50,19,1,1,2,0,0,3,7,0,0,5.23,5.65,1.84,89.7,80.6,-0.11,두산,2015,
홍건희,0.02,31,0,0,2,1,1,0,0,59.0,44,42,270,83,17,2,5,21,0,2,41,0,7,6.41,4.62,1.76,77.6,108.0,-0.51,KIA,2017,8000.0
최세창,0.02,3,0,0,0,0,0,0,0,3.0,2,1,15,5,0,0,1,0,0,0,1,0,0,3.0,7.22,1.67,154.4,62.0,-0.01,두산,2020,2700.0
조무근,0.02,2,0,0,0,0,0,0,0,2.0,1,1,9,2,1,0,0,1,0,0,1,0,0,4.5,3.84,1.5,92.5,106.7,0.0,롯데,2022,
김유영,0.02,68,0,0,0,5,2,0,13,51.0,34,32,254,72,15,1,4,30,2,3,44,0,4,5.65,4.46,2.0,73.7,91.5,-0.88,롯데,2022,
박정준,0.02,8,0,0,0,0,0,0,0,10.0,7,7,45,10,2,0,2,5,0,1,4,0,0,6.3,6.94,1.5,66.3,60.0,-0.01,삼성,2022,
강승현,0.02,2,0,0,0,0,0,0,0,1.2,1,1,8,3,0,0,1,0,0,0,2,0,2,5.4,9.23,1.8,98.1,59.3,0.0,한화,2018,
김건우,0.02,6,0,0,4,0,1,0,0,11.0,7,6,54,8,1,0,1,12,0,0,7,0,1,4.91,6.51,1.82,91.4,69.2,-0.1,SSG,2021,
최민준,0.02,38,0,0,12,3,3,0,4,86.0,56,56,398,93,17,0,11,50,0,7,62,1,5,5.86,5.54,1.66,76.6,81.9,-1.71,SSG,2021,
이용호,0.02,1,0,0,0,0,0,0,0,1.2,1,1,9,3,1,0,0,1,0,0,0,0,0,5.4,5.59,2.4,94.7,92.3,-0.0,두산,2016,0.0
김원중,0.02,30,0,0,30,8,7,0,0,145.1,115,112,681,173,37,2,28,77,1,11,137,0,7,6.94,6.25,1.72,75.2,83.7,-2.69,롯데,2018,
하준수,0.02,2,0,0,0,0,0,0,0,3.0,2,2,15,3,1,0,0,3,0,0,1,0,0,6.0,5.67,2.0,67.9,72.4,-0.0,NC,2022,3000.0
김진욱,0.02,3,0,0,1,0,0,0,0,5.2,4,4,30,6,0,0,0,3,0,3,4,0,0,6.35,5.6,1.59,83.4,94.0,-0.04,한화,2018,
김주한,0.02,11,0,0,1,1,1,0,1,12.0,7,7,56,12,4,1,0,7,1,2,10,0,2,5.25,3.74,1.58,81.1,112.6,-0.41,SSG,2019,
유원상,0.02,19,0,0,0,2,1,0,1,24.0,18,17,115,31,3,1,3,13,1,2,15,0,2,6.38,5.92,1.83,79.8,84.2,-0.68,LG,2016,6000.0
이찬혁,0.02,4,0,0,0,0,0,0,0,3.1,2,2,17,4,0,0,1,3,0,1,1,0,1,5.4,10.46,2.1,85.7,43.7,0.0,LG,2020,2700.0
노건우,0.02,3,0,0,0,0,0,0,0,2.0,1,1,11,2,0,0,0,3,0,0,2,0,0,4.5,5.84,2.5,92.8,69.1,-0.09,삼성,2022,5800.0
가빌리오,0.02,15,0,0,15,6,4,0,0,81.1,54,53,351,88,18,0,7,30,1,6,70,0,3,5.86,4.02,1.45,76.5,113.0,-0.68,SSG,2021,
유경국,0.02,2,0,0,2,0,0,0,0,5.1,4,4,25,7,1,0,1,4,0,0,0,0,1,6.75,8.48,2.06,75.3,58.5,-0.22,LG,2016,0.0
장현식,0.02,53,0,0,0,5,4,0,9,54.2,31,28,246,58,7,1,9,23,0,4,49,0,6,4.61,5.23,1.48,91.4,81.0,-0.48,NC,2019,11000.0
이호중,0.02,4,0,0,0,0,0,0,0,4.1,3,3,23,7,0,0,1,2,0,1,3,0,0,6.23,7.25,2.08,78.4,67.1,-0.03,NC,2020,3000.0
김주한,0.02,63,0,0,3,6,5,5,11,69.2,51,46,320,82,13,4,10,32,5,5,45,1,2,5.94,5.69,1.64,84.7,89.2,-2.13,SSG,2017,9000.0
송승기,0.02,7,0,0,0,0,1,0,0,8.1,5,5,40,9,2,0,1,6,0,0,10,0,1,5.4,4.66,1.8,73.6,84.7,-0.31,LG,2022,3000.0
문성현,0.02,4,0,0,0,0,0,0,0,3.1,2,2,18,3,2,0,0,6,0,0,3,0,1,5.4,6.93,2.7,82.1,63.4,-0.01,키움,2021,3500.0
권휘,0.02,10,0,0,0,0,0,0,1,9.1,6,6,40,8,0,0,1,5,0,1,5,0,2,5.79,5.59,1.39,68.8,71.1,0.02,두산,2022,
황덕균,0.01,3,0,0,0,0,0,0,0,3.2,3,3,16,0,0,0,0,5,0,0,2,0,0,7.36,6.62,1.36,68.2,75.7,0.02,kt,2015,
정수민,0.01,15,0,0,1,1,1,0,0,28.0,21,21,128,31,5,0,7,16,0,1,28,0,2,6.75,6.81,1.68,73.5,73.7,-0.23,NC,2017,4200.0
