선수,연도,팀,연봉,WAR
나성범,2022,KIA,"200,000",6.291
양현종,2022,KIA,"100,000",1.681
최형우,2022,KIA,"90,000",2.375
소크라테스,2022,KIA,"50,000",5.036
김선빈,2022,KIA,"45,000",2.723
놀린,2022,KIA,"35,000",3.487
로니,2022,KIA,"30,000",-0.783
파노니,2022,KIA,"30,000",1.904
장현식,2022,KIA,"20,000",1.274
정해영,2022,KIA,"17,000",1.775
나지완,2022,KIA,"15,000",-0.024
임기영,2022,KIA,"14,000",1.659
박준표,2022,KIA,"12,500",-0.053
박찬호,2022,KIA,"12,000",3.338
전상현,2022,KIA,"11,000",0.997
류지혁,2022,KIA,"10,500",2.195
김태진,2022,KIA,"10,000",
홍상삼,2022,KIA,"10,000",-0.103
김민식,2022,KIA,"9,500",
이의리,2022,KIA,"9,000",1.261
한승택,2022,KIA,"8,500",-0.057
강경학,2022,KIA,"7,000",
이창진,2022,KIA,"7,000",2.065
고종욱,2022,KIA,"7,000",0.253
이준영,2022,KIA,"6,700",1.295
황대인,2022,KIA,"6,500",0.799
윤중현,2022,KIA,"6,500",0.182
김호령,2022,KIA,"6,000",0.530
이해창,2022,KIA,"6,000",
박진태,2022,KIA,"6,000",
한승혁,2022,KIA,"5,300",-0.636
이민우,2022,KIA,"4,800",
김규성,2022,KIA,"4,300",-0.341
고영창,2022,KIA,"4,200",0.795
이우성,2022,KIA,"4,100",0.006
김현수,2022,KIA,"4,000",0.035
유승철,2022,KIA,"4,000",-0.692
이정훈,2022,KIA,"4,000",-0.129
류승현,2022,KIA,"4,000",-0.053
김재열,2022,KIA,"3,900",-0.377
최정용,2022,KIA,"3,800",-0.301
김유신,2022,KIA,"3,700",-0.180
최정민,2022,KIA,"3,600",
신범수,2022,KIA,"3,600",-0.080
서덕원,2022,KIA,"3,600",
이승재,2022,KIA,"3,600",0.070
이진영,2022,KIA,"3,600",
오선우,2022,KIA,"3,500",
이준형,2022,KIA,"3,500",
김도현,2022,KIA,"3,500",
박정우,2022,KIA,"3,500",-0.012
장민기,2022,KIA,"3,500",
박민,2022,KIA,"3,500",-0.015
김현준,2022,KIA,"3,400",-0.273
남하준,2022,KIA,"3,300",-0.279
권혁경,2022,KIA,"3,200",0.031
장지수,2022,KIA,"3,200",0.152
최용준,2022,KIA,"3,100",
박건우,2022,KIA,"3,100",
김석환,2022,KIA,"3,100",-0.402
오정환,2022,KIA,"3,100",
이성주,2022,KIA,"3,000",
박상준,2022,KIA,"3,000",
김창용,2022,KIA,"3,000",
김찬민,2022,KIA,"3,000",
최지민,2022,KIA,"3,000",-0.275
한승연,2022,KIA,"3,000",
김도영,2022,KIA,"3,000",0.701
강이준,2022,KIA,"3,000",
강병우,2022,KIA,"3,000",
장재혁,2022,KIA,"3,000",0.003
박수용,2022,KIA,"3,000",
백도렬,2022,KIA,"3,000",
이영재,2022,KIA,"3,000",
손진규,2022,KIA,"3,000",
윤민석,2022,KIA,"3,000",
이인한,2022,KIA,"3,000",
윤도현,2022,KIA,"3,000",
황동하,2022,KIA,"3,000",
신명승,2022,KIA,"3,000",
옥준호,2022,KIA,"3,000",
이준범,2022,KIA,"3,000",
김승범,2022,KIA,"2,700",
김선우,2022,KIA,0,0.053
김민수,2022,KIA,0,
김양수,2022,KIA,0,
나용기,2022,KIA,0,
송후섭,2022,KIA,0,-0.207
김종국,2022,KIA,0,
구자욱,2022,삼성,"250,000",1.474
오승환,2022,삼성,"160,000",1.692
뷰캐넌,2022,삼성,"110,000",3.803
백정현,2022,삼성,"80,000",0.083
수아레즈,2022,삼성,"70,000",5.276
강민호,2022,삼성,"60,000",2.316
오재일,2022,삼성,"60,000",2.684
피렐라,2022,삼성,"60,000",7.769
원태인,2022,삼성,"30,000",2.520
이원석,2022,삼성,"30,000",1.073
김상수,2022,삼성,"25,000",-0.277
우규민,2022,삼성,"20,000",1.068
김태군,2022,삼성,"20,000",1.489
김헌곤,2022,삼성,"18,000",-2.137
김동엽,2022,삼성,"15,000",-0.472
장필준,2022,삼성,"12,000",0.026
김대우,2022,삼성,"12,000",0.202
김지찬,2022,삼성,"11,000",1.878
강한울,2022,삼성,"10,000",1.737
이승현,2022,삼성,"10,000",0.588
김호재,2022,삼성,"7,000",-0.261
오선진,2022,삼성,"7,000",0.160
김윤수,2022,삼성,"6,500",-0.640
최영진,2022,삼성,"6,500",-0.158
김민수,2022,삼성,"6,200",
노건우,2022,삼성,"5,800",0.023
박승규,2022,삼성,"5,700",-0.018
김승현,2022,삼성,"5,500",-0.427
이승현,2022,삼성,"5,500",0.588
이상민,2022,삼성,"5,500",0.724
홍정우,2022,삼성,"5,300",0.698
이성규,2022,삼성,"5,000",-0.215
양창섭,2022,삼성,"4,700",-0.600
허윤동,2022,삼성,"4,700",-0.813
송준석,2022,삼성,"4,700",-0.538
문용익,2022,삼성,"4,500",0.474
김재성,2022,삼성,"4,500",1.355
최충연,2022,삼성,"4,500",0.177
이승민,2022,삼성,"4,100",0.234
권정웅,2022,삼성,"4,000",
이재희,2022,삼성,"4,000",
임대한,2022,삼성,"4,000",-0.230
공민규,2022,삼성,"4,000",-0.141
김성윤,2022,삼성,"3,800",0.108
김성표,2022,삼성,"3,800",-0.331
이재익,2022,삼성,"3,700",-0.255
이태훈,2022,삼성,"3,500",-0.122
안주형,2022,삼성,"3,300",-0.029
박세웅,2022,삼성,"3,300",0.011
김현준,2022,삼성,"3,300",1.760
구준범,2022,삼성,"3,200",
황동재,2022,삼성,"3,100",-1.287
최하늘,2022,삼성,"3,000",-0.150
차동영,2022,삼성,"3,000",
이재현,2022,삼성,"3,000",-0.327
주한울,2022,삼성,"3,000",
장재혁,2022,삼성,"3,000",
홍무원,2022,삼성,"3,000",
조민성,2022,삼성,"3,000",0.134
이병헌,2022,삼성,"3,000",0.192
김서준,2022,삼성,"3,000",-0.089
김영웅,2022,삼성,"3,000",-0.089
김재혁,2022,삼성,"3,000",0.174
김상민,2022,삼성,"3,000",
강도훈,2022,삼성,"3,000",
신정환,2022,삼성,"3,000",
윤정훈,2022,삼성,"3,000",
윤정빈,2022,삼성,"3,000",-0.163
이기용,2022,삼성,0,
홍승원,2022,삼성,0,
김선우,2022,삼성,0,
김세민,2022,삼성,0,
김동진,2022,삼성,0,0.043
오상민,2022,삼성,0,
김태우,2022,삼성,0,
이해승,2022,삼성,0,-0.766
박주혁,2022,삼성,0,0.099
서주원,2022,삼성,0,
박정준,2022,삼성,0,0.015
미란다,2022,두산,"160,000",-0.214
김재환,2022,두산,"150,000",2.834
허경민,2022,두산,"120,000",3.105
정수빈,2022,두산,"60,000",0.692
페르난데스,2022,두산,"60,000",1.839
김재호,2022,두산,"50,000",-0.030
스탁,2022,두산,"40,000",1.000
양석환,2022,두산,"39,000",1.012
최원준,2022,두산,"34,000",1.623
박세혁,2022,두산,"30,000",1.157
오재원,2022,두산,"30,000",-0.255
홍건희,2022,두산,"25,000",1.093
김강률,2022,두산,"22,500",0.225
이영하,2022,두산,"16,000",-0.697
브랜든,2022,두산,"15,000",1.074
박계범,2022,두산,"14,500",-0.173
박치국,2022,두산,"14,500",-0.099
김인태,2022,두산,"14,000",0.882
윤명준,2022,두산,"14,000",-0.709
강진성,2022,두산,"13,000",-0.224
임창민,2022,두산,"12,000",0.190
강승호,2022,두산,"11,500",2.607
이승진,2022,두산,"11,000",-0.437
김명신,2022,두산,"10,000",1.639
이현승,2022,두산,"10,000",-0.055
조수행,2022,두산,"8,500",0.297
이형범,2022,두산,"8,100",0.284
장승현,2022,두산,"7,800",-0.175
최용제,2022,두산,"6,500",0.005
곽빈,2022,두산,"6,500",2.363
김지용,2022,두산,"6,000",-0.090
안재석,2022,두산,"5,800",-0.238
박정수,2022,두산,"5,000",0.489
장원준,2022,두산,"5,000",0.322
안권수,2022,두산,"4,800",1.046
박소준,2022,두산,"4,500",
윤수호,2022,두산,"4,000",
신성현,2022,두산,"4,000",-0.102
권휘,2022,두산,"3,700",0.020
안승한,2022,두산,"3,700",0.390
최승용,2022,두산,"3,500",-0.102
남호,2022,두산,"3,500",
박웅,2022,두산,"3,300",0.086
권민석,2022,두산,"3,300",-0.073
이교훈,2022,두산,"3,300",
현도훈,2022,두산,"3,200",
문대원,2022,두산,"3,200",
전민재,2022,두산,"3,200",0.035
유재유,2022,두산,"3,200",
김민혁,2022,두산,"3,200",0.665
오명진,2022,두산,"3,100",
최세창,2022,두산,"3,100",
박신지,2022,두산,"3,100",-1.002
박성재,2022,두산,"3,100",
김도윤,2022,두산,"3,100",
강동형,2022,두산,"3,000",
임태윤,2022,두산,"3,000",
정유석,2022,두산,"3,000",
전희범,2022,두산,"3,000",
천현재,2022,두산,"3,000",
임준형,2022,두산,"3,000",
홍성호,2022,두산,"3,000",-0.272
이원재,2022,두산,"3,000",
김성민,2022,두산,"3,000",
김시완,2022,두산,"3,000",
김태근,2022,두산,"3,000",0.045
김동준,2022,두산,"3,000",
신민철,2022,두산,"3,000",
강현구,2022,두산,"3,000",-0.003
윤태호,2022,두산,"3,000",
이병헌,2022,두산,"3,000",0.092
이민석,2022,두산,"3,000",
강산,2022,두산,"3,000",
김문수,2022,두산,"3,000",
강원진,2022,두산,"3,000",
양현진,2022,두산,"3,000",
송승환,2022,두산,"2,700",-0.270
김대한,2022,두산,"2,700",0.405
김동주,2022,두산,0,-0.179
최지강,2022,두산,0,-0.157
서예일,2022,두산,0,-0.370
정철원,2022,두산,0,2.508
신창희,2022,두산,0,
전창민,2022,두산,0,-0.740
박유연,2022,두산,0,-0.030
장빈,2022,두산,0,
황경태,2022,두산,0,
김현수,2022,LG,"150,000",4.798
켈리,2022,LG,"90,000",5.189
박해민,2022,LG,"60,000",5.098
루이즈,2022,LG,"60,000",-0.252
오지환,2022,LG,"60,000",6.442
플럿코,2022,LG,"50,000",4.787
홍창기,2022,LG,"32,000",3.983
차우찬,2022,LG,"30,000",
진해수,2022,LG,"30,000",1.530
정우영,2022,LG,"28,000",2.171
채은성,2022,LG,"28,000",3.020
유강남,2022,LG,"27,000",2.252
고우석,2022,LG,"27,000",3.682
서건창,2022,LG,"26,000",-0.086
임찬규,2022,LG,"20,000",-0.100
가르시아,2022,LG,"18,000",0.391
김민성,2022,LG,"18,000",-0.094
송은범,2022,LG,"15,000",0.279
김대유,2022,LG,"12,500",1.387
함덕주,2022,LG,"12,000",0.420
이형종,2022,LG,"12,000",0.145
최성훈,2022,LG,"10,500",0.885
임정우,2022,LG,"10,500",
이천웅,2022,LG,"10,000",-0.087
허도환,2022,LG,"10,000",0.235
김진성,2022,LG,"10,000",1.527
이민호,2022,LG,"9,800",-0.727
이상호,2022,LG,"8,500",-0.124
정주현,2022,LG,"8,000",
구본혁,2022,LG,"7,000",
김윤식,2022,LG,"7,000",2.135
문보경,2022,LG,"6,800",4.863
최동환,2022,LG,"6,000",0.689
이영빈,2022,LG,"5,500",0.016
안익훈,2022,LG,"5,500",-0.038
이재원,2022,LG,"5,200",1.351
이정용,2022,LG,"5,000",1.161
백승현,2022,LG,"5,000",-0.560
배재준,2022,LG,"5,000",0.724
신민재,2022,LG,"5,000",-0.085
이우찬,2022,LG,"5,000",1.544
문성주,2022,LG,"4,200",3.379
김호은,2022,LG,"4,000",-0.049
류원석,2022,LG,"4,000",
채지선,2022,LG,"4,000",0.225
임준형,2022,LG,"4,000",-0.313
한석현,2022,LG,"3,900",-0.070
장준원,2022,LG,"3,800",
손주영,2022,LG,"3,800",0.068
이상규,2022,LG,"3,700",
김영준,2022,LG,"3,500",0.376
박재욱,2022,LG,"3,500",0.001
손호영,2022,LG,"3,500",-0.085
오석주,2022,LG,"3,500",0.096
김주성,2022,LG,"3,300",
강정현,2022,LG,"3,300",
전준호,2022,LG,"3,200",
김태형,2022,LG,"3,200",
최민창,2022,LG,"3,200",-0.032
이찬혁,2022,LG,"3,100",
김지용,2022,LG,"3,000",
김주완,2022,LG,"3,000",0.054
성동현,2022,LG,"3,000",
김의준,2022,LG,"3,000",
최용하,2022,LG,"3,000",
최원영,2022,LG,"3,000",
최현준,2022,LG,"3,000",
김유민,2022,LG,"3,000",
김성협,2022,LG,"3,000",
김성우,2022,LG,"3,000",
김기연,2022,LG,"3,000",-0.018
허준혁,2022,LG,"3,000",-0.158
이지훈,2022,LG,"3,000",
김형욱,2022,LG,"3,000",
문정빈,2022,LG,"3,000",
이지강,2022,LG,"3,000",0.254
이주헌,2022,LG,"3,000",
이동규,2022,LG,"3,000",
이강욱,2022,LG,"3,000",
임지섭,2022,LG,"3,000",
엄태경,2022,LG,"3,000",
양진혁,2022,LG,"3,000",
송찬의,2022,LG,"3,000",0.273
송승기,2022,LG,"3,000",0.021
조건희,2022,LG,"3,000",
조선명,2022,LG,"3,000",
조원태,2022,LG,"3,000",0.175
강효종,2022,LG,"3,000",0.093
김대현,2022,LG,0,
안치홍,2022,롯데,"100,000",2.714
이대호,2022,롯데,"80,000",3.633
피터스,2022,롯데,"60,000",0.444
정훈,2022,롯데,"55,000",-0.068
스파크맨,2022,롯데,"50,000",-0.237
전준우,2022,롯데,"50,000",1.354
반즈,2022,롯데,"46,538",3.012
김원중,2022,롯데,"28,000",0.795
박세웅,2022,롯데,"26,000",1.868
구승민,2022,롯데,"18,100",2.419
한동희,2022,롯데,"17,200",3.123
최준용,2022,롯데,"10,700",1.285
문경찬,2022,롯데,"9,000",0.091
이인복,2022,롯데,"8,500",1.586
서준원,2022,롯데,"8,400",0.622
강윤구,2022,롯데,"7,300",-0.072
이학주,2022,롯데,"7,000",-0.181
진명호,2022,롯데,"6,500",-0.053
김대우,2022,롯데,"6,500",0.119
추재현,2022,롯데,"6,400",-0.286
안중열,2022,롯데,"6,400",-0.098
김재유,2022,롯데,"6,000",0.000
지시완,2022,롯데,"6,000",0.414
나균안,2022,롯데,"5,800",1.940
김도규,2022,롯데,"5,700",0.863
이승헌,2022,롯데,"5,300",-0.285
김민수,2022,롯데,"5,300",-0.061
김진욱,2022,롯데,"5,100",-0.441
신용수,2022,롯데,"4,900",0.103
김유영,2022,롯데,"4,800",0.015
최영환,2022,롯데,"4,700",-0.322
배성근,2022,롯데,"4,200",-0.410
정성종,2022,롯데,"4,100",-0.037
백용환,2022,롯데,"4,000",
나승엽,2022,롯데,"4,000",
고승민,2022,롯데,"3,800",1.900
장두성,2022,롯데,"3,500",-0.197
정보근,2022,롯데,"3,400",-1.115
강태율,2022,롯데,"3,300",-0.510
김주현,2022,롯데,"3,300",
박선우,2022,롯데,"3,300",
조무근,2022,롯데,"3,300",0.023
최민재,2022,롯데,"3,200",
김동우,2022,롯데,"3,100",
윤성빈,2022,롯데,"3,100",
정우준,2022,롯데,"3,100",
김창훈,2022,롯데,"3,100",0.011
나원탁,2022,롯데,"3,100",-0.130
송재영,2022,롯데,"3,100",
박진,2022,롯데,"3,100",
한태양,2022,롯데,"3,000",-0.384
정대혁,2022,롯데,"3,000",
하혜성,2022,롯데,"3,000",
조세진,2022,롯데,"3,000",-0.749
진승현,2022,롯데,"3,000",-0.220
최건,2022,롯데,"3,000",-0.393
이호연,2022,롯데,"3,000",-0.290
경우진,2022,롯데,"3,000",
김강현,2022,롯데,"3,000",
강민성,2022,롯데,"3,000",
김동욱,2022,롯데,"3,000",
김민수,2022,롯데,"3,000",-0.061
김서진,2022,롯데,"3,000",
김세민,2022,롯데,"3,000",-0.067
