순,이름,팀,WAR*,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR*,WPA
488,김동엽,17SLF,1.46,125,428,393,58,109,18,1,22,195,70,2,4,23,9,1,62,6,0,3,.277,.329,.496,.826,.356,103.6,1.46,1.12
489,신종길,15KRF,1.46,99,348,313,56,82,13,4,5,118,28,19,5,25,6,0,80,3,4,0,.262,.329,.377,.706,.320,78.4,1.46,1.93
490,오재원,16두2B,1.43,122,484,416,68,113,18,1,5,148,58,13,10,54,5,1,82,10,3,6,.272,.358,.356,.713,.334,84.5,1.43,0.72
491,이형종,17LLF,1.42,128,434,377,57,100,18,0,9,145,44,11,6,40,11,0,73,7,4,2,.265,.351,.385,.736,.334,94.1,1.42,0.00
492,아두치,16롯CF,1.41,64,272,247,46,72,18,3,7,117,41,15,2,18,1,1,59,5,1,5,.292,.336,.474,.810,.354,97.1,1.41,0.53
493,스크럭스,18N1B,1.41,142,571,501,75,129,35,0,26,242,97,3,2,55,12,2,144,14,0,3,.257,.343,.483,.826,.355,103.4,1.41,2.57
494,조동찬,17삼2B,1.41,122,393,353,35,102,23,0,10,155,46,3,0,22,10,0,72,8,4,4,.289,.345,.439,.784,.345,98.2,1.41,-0.20
495,정의윤,17SDH,1.40,112,381,349,44,112,16,0,15,173,45,0,1,19,9,0,61,11,0,4,.321,.368,.496,.863,.379,119.7,1.40,0.69
496,하주석,22한SS,1.38,125,483,444,50,115,18,2,5,152,58,20,6,31,3,1,126,4,2,3,.259,.310,.342,.652,.303,84.5,1.38,-0.21
497,박용택,18LLF,1.38,134,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,.303,.362,.466,.828,.362,112.7,1.38,2.63
498,강경학,18한2B,1.38,77,289,245,42,68,11,1,5,96,27,6,3,38,4,0,59,7,1,1,.278,.382,.392,.774,.353,101.4,1.38,0.77
499,이명기,21NLF,1.38,56,232,191,30,56,12,0,2,74,14,5,3,37,1,0,27,2,3,0,.293,.411,.387,.798,.381,126.6,1.38,1.03
500,정성훈,16L1B,1.37,126,418,370,58,119,22,1,6,161,64,8,4,33,5,1,59,9,5,5,.322,.380,.435,.815,.369,107.7,1.37,0.83
501,김재성,22삼DH,1.37,63,185,161,16,54,10,0,3,73,26,0,0,18,2,0,40,4,1,3,.335,.402,.453,.856,.392,143.6,1.37,0.44
502,최항,18S2B,1.37,98,257,222,38,65,12,1,7,100,35,2,2,25,8,0,57,1,2,0,.293,.384,.450,.835,.370,113.0,1.37,0.05
503,양석환,18L3B,1.37,140,519,483,53,127,27,0,22,220,82,2,2,24,6,0,81,9,1,5,.263,.303,.455,.759,.324,89.6,1.37,0.37
504,살라디노,20삼LF,1.37,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,.280,.411,.477,.888,.405,137.2,1.37,0.53
505,백상원,16삼2B,1.36,132,517,445,60,128,19,3,3,162,49,8,3,51,4,0,69,15,10,7,.288,.361,.364,.725,.335,83.9,1.36,0.45
506,이명기,18KRF,1.35,120,502,447,88,135,28,6,4,187,42,12,5,40,3,3,64,5,11,1,.302,.363,.418,.781,.340,95.0,1.35,0.16
507,윌슨,19롯3B,1.35,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,.251,.351,.433,.784,.361,118.4,1.35,0.73
508,김강민,22SCF,1.33,84,202,178,24,54,11,0,5,80,18,1,3,18,3,2,39,1,2,1,.303,.375,.449,.824,.372,129.5,1.33,1.07
509,권희동,19NRF,1.33,116,413,348,37,89,17,0,6,124,41,3,0,50,7,1,60,10,5,3,.256,.358,.356,.714,.334,100.0,1.33,0.18
510,유강남,15LC,1.33,126,313,279,26,76,11,1,8,113,37,2,1,19,7,0,55,10,7,1,.272,.333,.405,.738,.328,91.4,1.33,-0.84
511,권희동,21NLF,1.32,55,171,133,25,35,3,0,8,62,26,2,0,29,5,1,24,4,1,3,.263,.406,.466,.872,.400,136.7,1.32,0.63
512,박석민,21N3B,1.32,59,205,171,27,44,8,0,10,82,41,0,0,27,2,1,43,8,3,2,.257,.361,.480,.841,.377,121.5,1.32,0.01
513,장성우,19KC,1.32,126,412,365,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,.263,.326,.340,.666,.309,83.6,1.32,-1.85
514,오윤석,20롯2B,1.31,63,197,168,31,50,7,1,4,71,32,2,1,24,2,0,47,2,1,2,.298,.388,.423,.810,.373,117.0,1.31,0.44
515,한유섬,20SRF,1.31,62,231,193,35,48,5,0,15,98,31,2,0,30,6,1,49,8,0,2,.249,.364,.508,.871,.383,121.2,1.31,0.56
516,윤석민,15넥3B,1.30,108,418,361,54,106,24,1,14,174,71,3,2,37,8,1,62,16,5,7,.294,.366,.482,.848,.370,111.1,1.30,2.38
517,이택근,18넥DH,1.30,104,356,308,40,95,25,1,4,134,52,1,0,32,9,0,44,14,3,4,.308,.385,.435,.820,.365,109.9,1.30,1.04
518,박세혁,22두C,1.29,128,402,351,33,87,13,1,3,111,41,2,2,33,6,1,71,4,8,4,.248,.320,.316,.636,.295,80.4,1.29,-1.26
519,이원석,20삼3B,1.29,121,467,403,46,108,17,0,13,164,74,0,1,49,2,1,82,7,1,12,.268,.341,.407,.748,.338,94.3,1.29,0.22
520,허정협,20키LF,1.28,111,360,314,45,84,12,0,10,126,43,0,0,40,2,0,73,7,3,1,.268,.353,.401,.754,.346,104.5,1.28,1.38
521,류지혁,21K3B,1.28,92,327,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3,.278,.385,.330,.714,.348,104.4,1.28,-0.08
522,장영석,17넥1B,1.27,60,212,186,30,50,14,0,12,100,38,0,0,17,9,0,50,4,0,0,.269,.359,.538,.896,.386,128.2,1.27,1.09
523,박세혁,18두C,1.26,89,194,170,37,48,12,0,3,69,22,5,0,16,4,0,55,0,3,1,.282,.356,.406,.762,.337,95.0,1.26,-0.66
524,김원섭,15KCF,1.26,110,341,277,45,74,13,3,5,108,33,8,5,53,3,0,46,5,6,2,.267,.388,.390,.778,.357,103.2,1.26,0.82
525,이지영,22키C,1.26,137,450,420,38,112,13,4,2,139,37,1,1,20,2,2,44,16,8,0,.267,.303,.331,.634,.290,75.6,1.26,-1.85
526,박해민,19삼CF,1.26,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,.239,.318,.328,.646,.300,76.8,1.26,-1.36
527,최주환,15두3B,1.25,100,270,238,34,67,16,2,5,102,32,0,3,25,3,2,34,6,3,1,.282,.356,.429,.784,.349,104.7,1.25,0.10
528,노수광,17KSCF,1.24,131,425,382,72,109,18,3,6,151,39,16,9,25,9,2,84,3,4,5,.285,.340,.395,.735,.327,87.0,1.24,0.20
529,황성빈,22롯CF,1.23,102,353,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2,.294,.341,.366,.707,.324,95.3,1.23,-0.39
530,유민상,19K1B,1.23,61,202,175,23,51,15,0,5,81,26,0,0,23,4,0,35,6,0,0,.291,.386,.463,.849,.391,139.6,1.23,0.46
531,반즈,20한1B,1.23,74,319,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,.265,.342,.428,.769,.349,104.5,1.23,0.31
532,김성욱,16NCF,1.23,130,348,306,60,81,15,1,15,143,51,5,2,30,3,0,64,15,7,2,.265,.334,.467,.802,.348,94.9,1.23,0.57
533,페게로,19L1B,1.22,52,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,.286,.332,.472,.804,.364,127.3,1.22,1.80
534,이원석,21삼3B,1.22,131,480,399,40,92,19,0,9,138,59,1,0,60,11,2,80,11,2,8,.231,.341,.346,.687,.327,89.8,1.22,-0.29
535,김태군,22삼C,1.22,102,235,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3,.298,.358,.380,.739,.337,106.3,1.22,-0.17
536,손시헌,15NSS,1.20,140,508,440,56,108,24,2,13,175,58,3,2,36,14,0,66,16,13,5,.245,.319,.398,.717,.315,78.6,1.20,0.23
537,라가레스,22SLF,1.19,49,202,180,24,57,9,0,6,84,32,3,1,14,1,1,18,4,4,3,.317,.364,.467,.830,.368,126.9,1.19,1.19
538,이재원,22LDH,1.19,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,.224,.316,.453,.769,.346,122.0,1.19,0.61
539,초이스,18넥RF,1.19,96,397,349,55,90,19,0,17,160,61,2,1,33,10,2,79,4,0,5,.258,.335,.458,.794,.341,97.2,1.19,0.78
540,박세혁,17두C,1.19,97,237,201,41,57,8,0,5,80,26,2,1,19,5,0,44,1,8,4,.284,.354,.398,.752,.329,91.5,1.19,0.25
541,김준완,16NCF,1.18,122,325,253,60,66,7,1,1,78,12,2,5,66,2,0,62,4,2,1,.261,.416,.308,.724,.360,102.6,1.18,0.38
542,조영훈,16N1B,1.18,109,207,179,29,60,14,0,5,89,35,3,3,21,3,1,43,2,1,3,.335,.408,.497,.905,.404,131.7,1.18,0.50
543,이병규,16LLF,1.18,103,350,290,43,79,12,2,7,116,37,8,5,47,10,1,81,4,0,3,.272,.389,.400,.789,.368,108.1,1.18,1.14
544,이승엽,17삼DH,1.18,135,533,472,65,132,30,5,24,244,87,1,1,47,6,6,85,7,0,8,.280,.347,.517,.864,.367,111.1,1.18,1.93
545,피터스,22롯CF,1.18,85,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,.228,.299,.402,.701,.319,93.7,1.18,1.09
546,김인태,22두RF,1.17,83,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0,.247,.366,.336,.702,.337,109.9,1.17,0.08
547,박찬호,21KSS,1.15,131,483,418,51,103,15,5,1,131,59,9,4,54,0,0,73,11,8,3,.246,.331,.313,.644,.308,77.7,1.15,0.17
548,김병희,21K3B,1.15,34,69,51,16,15,3,0,5,33,13,3,0,13,3,0,14,0,2,0,.294,.463,.647,1.110,.476,189.8,1.15,1.10
549,최재원,16삼3B,1.15,28,105,81,20,27,3,0,4,42,16,3,1,17,3,0,17,2,2,2,.333,.456,.519,.975,.432,146.5,1.15,0.96
550,안권수,22두RF,1.15,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,.297,.368,.343,.712,.339,108.3,1.15,-0.47
551,양석환,17L3B,1.15,132,496,445,62,117,27,3,14,192,83,3,7,38,6,2,93,13,2,5,.263,.326,.431,.757,.331,93.4,1.15,-0.65
552,김헌곤,21삼LF,1.14,118,364,317,38,89,8,2,4,113,27,5,4,34,5,0,46,9,3,5,.281,.355,.356,.711,.338,98.1,1.14,-1.03
553,이지영,20키C,1.14,101,289,262,22,81,10,2,0,95,36,1,1,19,4,1,28,8,3,1,.309,.364,.363,.726,.338,95.4,1.14,0.37
554,로맥,21S1B,1.13,107,421,355,55,80,11,0,20,151,52,1,0,59,4,1,83,9,0,3,.225,.340,.425,.765,.354,105.5,1.13,-0.59
555,정수빈,22두CF,1.13,127,455,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4,.259,.323,.331,.654,.303,85.3,1.13,0.81
556,이원석,22삼3B,1.12,88,335,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,.267,.346,.417,.763,.345,110.2,1.12,1.31
557,김호재,20삼3B,1.11,65,138,118,19,38,5,0,1,46,10,2,0,16,3,0,19,1,1,0,.322,.416,.390,.806,.381,124.4,1.11,0.03
558,박정음,16넥CF,1.10,98,263,223,45,69,5,3,4,92,26,16,9,30,3,0,52,5,5,2,.309,.395,.413,.808,.370,103.8,1.10,0.81
559,이대호,21롯DH,1.10,114,465,420,39,120,11,0,19,188,81,0,0,34,5,3,50,12,0,6,.286,.342,.448,.790,.361,111.3,1.10,1.44
560,백창수,17LLF,1.09,52,122,101,15,33,9,0,4,54,18,1,0,12,4,0,18,4,3,2,.327,.412,.535,.946,.404,143.0,1.09,0.50
561,고종욱,15넥LF,1.09,119,443,407,81,126,25,4,10,189,51,22,14,25,6,1,81,10,4,1,.310,.358,.464,.822,.364,108.7,1.09,1.29
562,황대인,22K1B,1.08,129,524,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,.256,.315,.401,.716,.327,100.0,1.08,-1.18
563,정수빈,18두CF,1.06,26,112,98,20,36,2,1,2,46,23,5,2,11,1,0,13,1,0,2,.367,.429,.469,.898,.402,136.7,1.06,0.89
564,문보경,21L1B,1.06,107,329,278,37,64,11,1,8,101,39,3,1,46,0,1,64,5,3,2,.230,.337,.363,.701,.329,97.1,1.06,0.79
565,샌즈,18넥RF,1.05,25,93,86,17,27,1,1,12,66,37,0,1,6,0,0,27,2,0,1,.314,.355,.767,1.122,.445,171.5,1.05,2.12
566,지시완,21롯C,1.04,73,187,166,23,40,9,0,7,70,26,0,0,14,5,0,54,6,2,0,.241,.319,.422,.741,.340,96.8,1.04,0.01
567,오정복,17kLF,1.04,81,213,195,24,69,13,0,2,88,16,0,1,9,5,0,24,5,3,1,.354,.395,.451,.847,.378,117.8,1.04,0.37
568,김성욱,18NCF,1.04,111,358,323,49,84,13,2,13,140,45,11,2,29,1,0,64,10,2,3,.260,.320,.433,.754,.326,86.0,1.04,0.42
569,송광민,19한3B,1.04,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,.262,.296,.355,.651,.300,80.0,1.04,-1.60
570,이지영,15삼C,1.03,124,400,361,36,110,10,1,1,125,55,1,2,14,4,0,32,10,16,5,.305,.333,.346,.680,.303,69.6,1.03,0.71
571,김강민,15SCF,1.03,96,328,293,43,72,17,0,4,101,31,7,4,23,7,0,83,6,4,1,.246,.315,.345,.660,.302,72.9,1.03,-0.12
572,전병우,18롯3B,1.02,27,77,66,18,24,7,0,3,40,13,3,0,9,1,0,24,1,0,1,.364,.442,.606,1.048,.447,163.5,1.02,0.75
573,강한울,17삼SS,1.02,135,448,412,58,125,9,3,0,140,24,12,7,26,0,0,57,4,9,1,.303,.344,.340,.684,.312,77.8,1.02,-1.46
574,이대호,20롯DH,1.02,144,611,542,67,158,27,0,20,245,110,1,0,53,5,9,68,21,0,11,.292,.354,.452,.806,.357,106.1,1.02,3.56
575,조수행,21두CF,1.01,115,104,84,34,24,2,1,1,31,8,21,4,16,3,0,26,1,1,0,.286,.418,.369,.787,.381,128.1,1.01,0.48
576,박계범,19삼SS,1.01,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,.256,.354,.387,.740,.336,99.9,1.01,-0.34
577,이홍구,16KC,1.01,106,273,241,27,64,16,2,9,111,45,0,1,19,4,1,66,5,3,6,.266,.322,.461,.783,.338,85.2,1.01,-0.74
578,김혜성,18넥2B,1.00,136,473,430,79,116,15,6,5,158,45,31,6,33,5,1,119,6,3,2,.270,.328,.367,.695,.311,75.0,1.00,0.25
579,전의산,22S1B,1.00,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1,.249,.316,.481,.797,.353,114.0,1.00,0.20
580,모창민,16N3B,1.00,63,147,133,16,44,8,0,5,67,20,3,2,9,1,0,24,7,1,3,.331,.370,.504,.874,.384,118.4,1.00,0.46
581,김민혁,19KLF,1.00,127,521,466,68,131,10,1,0,143,32,22,10,32,13,0,61,8,5,5,.281,.341,.307,.648,.309,82.7,1.00,-0.27
582,하주석,16한SS,1.00,115,441,405,58,113,21,1,10,166,57,5,7,18,9,1,115,3,8,1,.279,.323,.410,.733,.326,77.1,1.00,0.90
583,지석훈,15N3B,0.98,137,466,415,53,111,15,0,11,159,46,4,1,23,16,0,85,9,9,3,.267,.328,.383,.711,.319,81.0,0.98,0.31
584,나주환,18SSS,0.98,119,420,362,54,95,24,0,12,155,56,5,6,38,5,0,66,2,13,2,.262,.339,.428,.767,.328,85.9,0.98,0.65
585,이지영,16삼C,0.98,129,419,390,36,116,12,0,7,149,50,3,2,12,7,0,32,13,8,2,.297,.329,.382,.711,.321,75.2,0.98,-0.03
586,이병규,20롯1B,0.97,53,194,164,28,45,4,0,9,76,32,0,0,28,1,0,55,5,0,1,.274,.381,.463,.845,.383,123.9,0.97,0.91
587,김민성,20L3B,0.96,87,333,297,29,79,20,0,5,114,47,2,1,24,4,2,66,8,4,4,.266,.325,.384,.709,.319,87.8,0.96,-0.30
588,김준태,20롯C,0.95,128,369,306,38,69,12,2,5,100,43,2,2,56,1,0,64,5,3,3,.225,.344,.327,.671,.318,81.7,0.95,0.11
589,김태연,22한3B,0.95,119,464,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,.240,.325,.337,.662,.310,89.1,0.95,-1.45
590,모창민,18N3B,0.95,81,314,287,38,80,10,1,17,143,62,2,3,21,2,0,51,10,0,4,.279,.328,.498,.826,.351,101.4,0.95,1.70
591,아수아헤,19롯2B,0.94,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,.252,.356,.368,.724,.334,102.2,0.94,0.63
592,강승호,21두2B,0.94,113,340,301,47,72,16,2,7,113,37,8,2,22,6,1,78,8,8,3,.239,.301,.375,.677,.307,81.8,0.94,-0.93
593,송성문,21키3B,0.94,66,274,245,30,61,10,1,6,91,33,0,0,25,1,0,42,2,2,1,.249,.320,.371,.691,.323,90.2,0.94,0.26
594,이형종,21LDH,0.93,90,281,239,32,52,11,0,10,93,34,3,1,34,7,1,65,10,1,0,.218,.332,.389,.721,.338,104.8,0.93,-2.58
595,김강민,20SCF,0.93,122,327,289,39,73,11,1,12,122,45,7,5,27,4,2,62,10,5,2,.253,.323,.422,.745,.329,88.0,0.93,0.17
596,안중열,21롯C,0.92,58,157,125,19,29,5,0,3,43,16,0,0,27,1,0,25,1,3,1,.232,.370,.344,.714,.341,98.7,0.92,0.36
597,서상우,15LDH,0.92,58,171,159,29,54,8,0,6,80,22,5,1,9,3,0,31,2,0,0,.340,.386,.503,.889,.398,140.0,0.92,1.14
598,박동원,17넥C,0.92,103,284,256,33,69,9,0,11,111,39,2,1,17,3,0,56,9,6,2,.270,.320,.434,.754,.325,86.5,0.92,-0.26
599,권희동,18NLF,0.92,104,391,343,43,97,19,1,8,142,57,1,3,35,4,2,58,5,5,4,.283,.352,.414,.766,.335,92.3,0.92,1.78
600,조영훈,15N1B,0.92,103,146,124,20,35,8,0,8,67,35,3,0,19,0,0,36,1,1,2,.282,.372,.540,.913,.392,129.5,0.92,0.65
601,로메로,15두1B,0.92,76,305,265,30,67,16,0,12,119,50,2,0,29,4,1,48,9,0,7,.253,.328,.449,.777,.340,104.2,0.92,-0.84
602,정은원,20한2B,0.92,79,303,254,28,63,9,2,3,85,29,1,1,41,5,0,41,4,2,1,.248,.362,.335,.697,.332,94.1,0.92,-0.20
603,정훈,18롯1B,0.91,91,194,174,33,53,10,1,7,86,26,4,2,16,1,1,39,4,0,3,.305,.361,.494,.855,.367,110.7,0.91,-0.31
604,박석민,18NDH,0.91,103,375,318,40,81,14,1,16,145,55,1,0,39,15,4,80,11,0,3,.255,.360,.456,.816,.354,103.4,0.91,1.51
605,노수광,16KRF,0.91,77,238,207,43,64,4,2,4,84,30,12,2,20,1,0,46,0,10,0,.309,.373,.406,.779,.347,90.9,0.91,0.01
606,조셉,19L1B,0.91,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,.274,.332,.426,.758,.347,115.6,0.91,0.07
607,박찬호,19K3B,0.91,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,.260,.300,.317,.618,.289,68.7,0.91,-0.19
608,배영섭,17삼LF,0.91,92,244,218,39,66,11,1,6,97,26,1,0,19,3,1,44,5,3,1,.303,.365,.445,.810,.357,106.3,0.91,-0.09
609,이해창,17kC,0.90,114,283,254,33,69,11,0,11,113,44,1,4,19,1,1,50,5,6,2,.272,.323,.445,.767,.327,84.1,0.90,-0.00
610,김지찬,21삼SS,0.90,120,336,296,50,81,6,0,1,90,26,23,4,27,0,0,31,0,10,3,.274,.331,.304,.635,.300,73.4,0.90,0.08
611,채태인,18롯1B,0.90,130,420,376,44,110,18,0,15,173,75,0,0,34,5,3,107,10,1,4,.293,.356,.460,.816,.353,101.8,0.90,1.62
612,오승택,19K1B,0.89,62,199,187,36,52,11,1,4,77,22,9,0,11,0,0,39,4,0,1,.278,.317,.412,.728,.334,101.2,0.89,0.48
613,오선진,17한2B,0.89,65,209,184,23,57,11,0,2,74,21,3,5,15,4,0,22,5,4,2,.310,.371,.402,.773,.346,99.0,0.89,-0.26
614,안익훈,17LCF,0.89,108,248,219,38,70,5,0,1,78,16,3,2,18,4,0,28,3,5,2,.320,.379,.356,.735,.337,93.6,0.89,0.99
615,김강민,21SCF,0.88,122,260,223,43,53,12,1,8,91,27,3,3,25,6,1,52,3,3,3,.238,.327,.408,.735,.336,95.1,0.88,-0.65
616,이지영,19키C,0.88,106,331,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,.282,.317,.315,.632,.293,73.3,0.88,-1.51
617,김민혁,21KLF,0.87,75,198,171,22,54,6,2,1,67,13,6,3,20,2,0,27,3,5,0,.316,.394,.392,.786,.367,115.7,0.87,0.14
618,박동원,16넥C,0.85,127,454,411,44,102,25,1,14,171,70,3,1,27,7,0,93,18,6,3,.248,.304,.416,.720,.317,71.1,0.85,-1.14
619,채태인,20SDH,0.85,71,189,160,11,45,5,0,7,71,24,0,0,29,0,2,33,4,0,0,.281,.392,.444,.835,.380,121.5,0.85,-0.39
620,정주현,18L2B,0.85,115,339,303,48,79,14,2,6,115,31,18,3,27,2,0,68,9,6,1,.261,.324,.380,.704,.310,76.9,0.85,1.63
621,김민식,18KC,0.84,125,365,310,53,76,9,3,6,109,37,5,2,39,3,0,63,8,11,2,.245,.333,.352,.685,.304,71.1,0.84,-0.92
622,오윤석,22K2B,0.84,111,337,286,23,67,13,0,6,98,37,2,1,34,6,0,69,9,5,6,.234,.322,.343,.665,.308,86.1,0.84,0.26
623,박정권,16S1B,0.84,125,468,422,59,117,17,3,18,194,59,4,0,35,5,0,99,7,2,4,.277,.337,.460,.797,.353,95.5,0.84,1.68
624,발디리스,16삼3B,0.84,44,190,154,24,41,6,0,8,71,33,0,0,31,2,0,17,9,0,3,.266,.390,.461,.851,.384,115.5,0.84,0.47
625,노시환,20한3B,0.83,107,387,346,46,76,18,2,12,134,43,0,1,33,6,1,116,8,1,1,.220,.298,.387,.685,.310,78.7,0.83,-2.10
626,김민성,21L3B,0.83,121,426,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,.222,.313,.350,.663,.305,80.7,0.83,-0.60
627,박민우,21N2B,0.83,50,215,180,30,47,5,3,1,61,18,12,3,22,7,0,23,4,4,2,.261,.360,.339,.699,.333,94.8,0.83,-0.50
628,하주석,20한SS,0.83,72,281,262,22,75,11,0,2,92,32,4,1,13,2,0,66,3,2,2,.286,.323,.351,.674,.312,81.0,0.83,-0.50
629,김성훈,17삼2B,0.82,47,166,151,27,48,4,2,0,56,18,4,2,12,1,0,16,2,1,1,.318,.370,.371,.741,.341,97.0,0.82,0.12
630,신본기,16롯SS,0.82,25,104,81,13,25,4,0,1,32,10,0,1,13,8,0,12,3,2,0,.309,.451,.395,.846,.402,128.1,0.82,0.52
631,이천웅,16LRF,0.82,103,320,276,38,81,10,1,6,111,41,6,9,34,3,0,49,3,6,1,.293,.376,.402,.778,.356,100.0,0.82,1.13
632,이성열,16한LF,0.81,86,219,198,29,57,7,3,10,100,29,0,0,11,8,0,62,3,2,0,.288,.350,.505,.855,.374,107.5,0.81,0.53
633,터커,21KLF,0.81,127,539,468,42,111,24,1,9,164,59,0,0,61,8,1,66,12,0,2,.237,.334,.350,.684,.327,91.0,0.81,0.02
634,모창민,15N3B,0.81,103,239,214,23,62,14,0,6,94,35,5,0,18,0,0,52,5,4,3,.290,.340,.439,.780,.342,96.3,0.81,-1.21
635,오태곤,21S1B,0.81,122,253,235,47,63,10,0,9,100,35,9,4,14,2,0,52,4,1,1,.268,.314,.426,.739,.339,97.0,0.81,-0.33
636,히메네스,17L3B,0.81,51,198,181,29,50,6,1,7,79,30,3,5,13,3,0,19,8,0,1,.276,.333,.436,.770,.341,100.6,0.81,-0.31
637,오윤석,21롯K2B,0.80,98,198,164,23,40,11,0,4,63,16,4,0,27,2,1,47,4,5,0,.244,.358,.384,.742,.343,99.2,0.80,-1.60
638,오태곤,20KSLF,0.80,94,258,234,36,64,12,1,5,93,35,15,6,13,7,0,47,6,4,0,.274,.331,.397,.728,.330,89.7,0.80,0.08
639,박헌도,15넥LF,0.80,108,267,218,31,54,13,0,8,91,42,0,2,37,7,0,52,6,3,2,.248,.371,.417,.789,.357,102.5,0.80,-0.08
640,최정원,21N2B,0.80,72,238,212,40,60,4,2,0,68,8,10,7,18,4,0,40,0,4,0,.283,.350,.321,.671,.322,88.4,0.80,-0.60
641,최준석,17롯DH,0.80,125,464,409,43,119,15,0,14,176,82,0,0,49,1,0,89,24,0,5,.291,.364,.430,.795,.356,104.3,0.80,2.51
642,최승준,16S1B,0.80,76,231,199,31,53,5,0,19,115,42,0,0,28,3,1,66,5,0,1,.266,.364,.578,.942,.401,124.5,0.80,0.52
643,이천웅,17LLF,0.80,75,266,232,35,66,14,0,2,86,27,8,3,24,6,2,45,10,4,0,.284,.366,.371,.737,.335,93.0,0.80,2.38
644,김민혁,22두1B,0.79,38,97,88,11,25,2,0,5,42,16,0,0,7,2,0,25,6,0,0,.284,.351,.477,.828,.377,142.7,0.79,0.11
645,김회성,15한3B,0.79,83,268,225,36,47,10,2,16,109,35,2,4,28,10,0,58,4,3,2,.209,.321,.484,.805,.345,93.5,0.79,-0.11
646,장성우,18KC,0.79,127,393,356,41,92,13,0,13,144,48,1,1,32,2,0,82,8,1,2,.258,.321,.404,.726,.320,79.1,0.79,-1.09
647,안재석,21두SS,0.79,96,224,200,28,51,8,2,2,69,14,1,0,16,4,0,53,4,0,4,.255,.317,.345,.662,.314,83.8,0.79,-1.02
648,조동찬,16삼3B,0.79,90,282,247,32,68,11,1,10,111,36,0,1,26,3,0,64,7,3,3,.275,.348,.449,.797,.354,95.6,0.79,0.62
649,김규민,18넥LF,0.79,104,336,298,47,88,9,2,3,110,40,8,4,27,6,0,89,3,1,4,.295,.361,.369,.730,.333,90.1,0.79,1.73
650,문선재,16LCF,0.79,52,127,111,28,32,3,2,7,60,16,5,0,10,0,0,29,1,5,1,.288,.344,.541,.885,.367,112.2,0.79,0.01
651,김웅빈,21키3B,0.78,97,278,231,23,55,13,1,5,85,34,1,1,34,9,2,73,2,2,2,.238,.355,.368,.723,.341,101.6,0.78,0.26
652,김호령,16KCF,0.78,124,514,453,72,121,18,3,8,169,41,19,10,36,10,0,104,7,13,2,.267,.333,.373,.706,.320,73.2,0.78,-0.89
653,김재현,16SLF,0.78,100,193,168,27,54,5,5,1,72,18,13,7,11,5,0,41,1,8,1,.321,.378,.429,.807,.356,100.7,0.78,-0.16
654,유강남,16LC,0.78,100,297,263,28,70,7,0,8,101,47,0,0,17,7,0,48,6,4,6,.266,.321,.384,.705,.317,76.5,0.78,1.10
655,최재훈,18한C,0.77,128,341,298,36,78,17,0,1,98,27,8,0,20,15,0,61,8,6,2,.262,.337,.329,.666,.305,71.1,0.77,-0.34
656,이성곤,21삼한1B,0.77,62,208,174,17,46,12,2,1,65,24,1,3,29,3,0,53,4,1,1,.264,.377,.374,.750,.359,113.7,0.77,-0.88
657,김성현,18S2B,0.77,135,462,415,51,115,19,1,4,148,55,6,2,29,9,0,42,19,6,3,.277,.336,.357,.692,.312,75.6,0.77,-0.24
658,호잉,21KRF,0.76,68,294,259,32,62,11,1,11,108,52,5,2,26,4,2,52,2,0,5,.239,.313,.417,.730,.332,93.5,0.76,-0.01
